SAINTFIELD HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW511153,Long,-5.8424845,Lat,54.472014,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,6201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,2.56,5.15,4.83,3.22,5.49,2.91,5.64,3.24,5.19,2.45,4.24,2.79,2.03,2.4,3.2,1.25,4.97,5.15,4.19,5.38,5.51
February,,,,,,,,,,,2.15,0.85,3.38,7.59,1.09,4.56,3.34,2.34,4.23,3.07,0.91,2.45,0.22,2.6,0.26,3.78,3.31,5.25,1.58,2.28,3.16
March,,,,,,,,,,,3.07,2.65,1.51,2.53,1.63,1.08,1.3,3.33,5.61,0.47,1.94,1.88,2,2.59,2.08,1.4,3,3.5,1,3.37,3.92
April,,,,,,,,,,,2.47,1.25,4.8,4.08,3.34,3.54,2.05,1.64,2.31,1.42,1.22,2.76,2.78,1.6,3.27,2.24,0.94,2.64,0.15,2.37,4.61
May,,,,,,,,,,1.66,3.03,2.14,1.46,1.48,4.37,4.63,2.05,1.32,1.51,2.54,1.76,4.07,3.65,2.65,2.67,1.13,1.51,1.19,1.66,1.02,1.51
June,,,,,,,,,,2.25,2.46,0.33,2.08,1.18,3.78,0.39,1.99,4.02,4.35,2.81,2.62,4.32,1.62,3.14,1.56,3.98,2.62,2.48,4.26,1.91,1.08
July,,,,,,,,,,0.23,2.58,3.82,4.15,2.28,4.99,3.72,2.68,4.19,2.2,2.63,4.19,2.78,6.56,2.72,1.56,1.39,5.67,2.72,4.33,4.59,4.63
August,,,,,,,,,,2.24,1.95,2.92,3.64,6.99,4,1.88,3.9,4.97,4.15,4.62,7.53,4.27,2.78,1.86,6.36,1.97,2.93,2.3,2.52,1.99,0.67
September,,,,,,,,,,2.3,3.06,1.42,2.91,3.85,5.67,3.45,2,5.89,2.23,0.89,4.54,2.73,2.99,0.91,5.64,5.19,3.35,2.09,2.63,3.29,1.72
October,,,,,,,,,,1.2,5.65,3.31,0.98,4.05,2.36,3.61,3.34,4.01,5.88,3.31,5.32,1.81,3.69,3.05,4.26,3.82,2.33,3.28,5.47,2.67,5.21
November,,,,,,,,,,2.7,2.43,4.51,1.46,3.24,3.57,2.76,5.14,4.41,4.58,4.72,4.04,7.03,1.42,1.51,1.3,4.68,4.33,2.08,4.34,5.42,5.07
December,,,,,,,,,,6.71,4.57,2.38,2.98,4.14,4.66,4.15,1.22,3.35,3.79,6.54,3.41,3.07,5.29,2.18,7.79,3.82,3.02,4.66,5.11,2.14,4.05
Total,,,,,,,,,,,35.98,30.73,34.18,44.63,44.95,36.68,34.65,42.71,46.03,35.47,41.72,39.96,35.03,27.21,39.95,34.65,37.98,37.34,37.24,36.43,41.14
