BURNTISLAND (CULLALOE RES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT187875,Long,-3.307619,Lat,56.073386,Elevation,294,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.19,0.66,2.82,1.66,3.1,1.88,1.89,1.06,4.28,2.13,3.38,2.99,1.74,1.43,3.07,3.07,2.13,2.67,1.89,2.25,5.15,2.06,1.62,3.62,1.79,0.83,2.41,2.49,2.43,3.99,1.03,0.79,3.34
February,,,,,,,,,2.89,1.33,0.98,1.93,0.12,1.68,0.22,1.49,2.8,3.18,0.4,2.5,0.58,2.23,1.35,1.43,0.48,2.63,2.15,1.2,2.5,1.19,2.8,2.12,0.65,0.82,1.77,1.78,1.99,3.08,2.59,0.75,1.9
March,,,,,,,,,2.05,0.51,2.02,1.12,2.79,0.98,3.04,1.5,2.12,1.87,0.91,2.51,2.8,2.17,1.11,1.79,0.3,1.41,1.98,2.46,0.9,1.06,2.51,2.56,2.32,0.53,2.18,1.39,1.2,3.09,2.33,0.87,1.54
April,,,,,,,,,1.06,2.18,1.45,2.23,1.8,1.28,3.82,3.44,1.58,1.31,0.1,1.94,1.67,1.56,1.79,0.79,1.5,1.3,0.44,3.07,1.64,1.32,3.28,2.18,1.35,2.07,1.48,0.8,1.04,0.94,1.51,1.82,1.05
May,,,,,,,,,1.77,2.58,1.46,3.19,3.25,2.02,1.52,0.8,0.6,2.14,4.75,1.03,1.14,3,1.62,3.31,1.83,3.09,1.5,3.04,1.87,1.73,1.66,2.49,1.21,2.1,4.82,2.54,1.08,2.06,2.6,0.54,1.65
June,,,,,,,,,4.77,1.9,2.34,4.85,1.31,1.84,2.55,2.2,1.09,1.94,3.96,1.65,0.78,0.86,1.15,2.88,2.3,2.26,1.86,3.81,4.32,1.24,2.14,2.57,2.57,1.62,2.53,1.07,3.08,1.91,2.95,2.36,1.47
July,,,,,,,,,2.19,2.52,2.97,4.54,2.76,4.48,3.27,1.23,3.11,4.58,3.24,3.85,6.06,4.15,2.42,2.29,2.93,3.46,3.38,2.16,2.92,2,3.35,5.22,2.57,5.31,2.44,1.22,5.37,4.92,5.66,4.29,3.81
August,,,,,,,,,5.39,4.01,6.1,3.22,0.58,0.81,3.24,2.66,2.1,4.26,1.34,1.06,0.97,3.17,2.15,4.65,2.92,2.66,3.12,0.1,7.14,4.04,3.61,4.29,3.75,2.35,3.6,0.96,6.26,3.82,3,0.56,3.98
September,,,,,,,,,3.11,0.62,3.79,1.3,3.11,1.47,2.38,3.96,3.27,1.37,2.75,2.19,2.24,1.11,2.49,3.12,2.78,4.28,4.12,1.76,3.27,2.33,6.66,1.42,1.77,5.31,4.69,1.68,3.57,1.93,3.27,0.77,1.59
October,,,,,,,,,4.02,3.28,3.16,2,6.19,3.14,3.08,5.44,1.97,3.48,5.36,1.5,3.39,2.79,1.77,3.02,2.51,3.86,0.38,1.29,3.15,4.65,1.92,0.46,1.7,1.25,8.84,2.36,1.54,2.42,1.7,1.71,4.26
November,,,,,,,,,3.09,4.55,3.09,4.99,1.74,1.52,0.49,4.17,2.21,0.39,3.32,3.74,2.95,1.84,0.2,0.98,5.38,0.77,4.19,2.71,2.19,3.05,3.68,3.99,2.22,4.19,3.21,1.19,0.63,2.26,1.16,5.08,2.85
December,,,,,,,,,3.39,3.89,2.02,1.08,5.24,1.12,2.95,1.64,2.76,1.99,1.52,1.16,1.26,0.93,1.66,1.03,2.27,1.98,1.84,1.53,2.49,3.9,2.35,2.39,2.44,3.3,2.99,4.44,2.65,2.67,4.91,3.41,2.98
Total,,,,,,,,,38.92,28.03,32.2,32.11,31.99,22.22,28.45,29.59,27.89,28.64,31.03,26.12,25.58,25.24,20.78,28.36,27.33,30.37,26.85,25.38,37.54,28.57,35.58,33.31,24.34,29.68,40.96,21.92,30.84,33.09,32.71,22.95,30.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 G replaced May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan corrd snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Jun JUL Apptd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 NP O N apptd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,888647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
