DUNFORD BRIDGE RESERVOIR (GAUGE 3129-9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE151023,Long,-1.772987,Lat,53.517609,Elevation,1081,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3162/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,7.88,7.7,3.62,5.45,5.12,7.7,10.68,6.99,8.13,5.76,14.59,3.29,4.3,6.48,7.68,3.07,5.35,3.52,8.08,4.93,6.04,5.94,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,3.25,6.57,3.52,7.4,1.72,5.35,3.81,7.42,10.01,3.62,5.71,3.9,10.08,6.15,2.22,2.77,4.4,3.18,2.71,5.11,7.61,0.46,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.01,4.47,4.69,7.33,4.12,2.83,1.01,1.85,2.89,8.34,2.53,2.56,2.87,7.5,2.89,3.54,3.48,3.87,2.76,4.67,3.59,2.68,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.85,3.34,4.35,3.7,2.95,3.8,3.64,3.25,2.27,-999,3.05,6.03,5.66,3.72,3.21,4.33,0.94,2.29,3.31,0.46,1.66,6.61,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,4.01,2.79,1.29,3.9,4.13,3.53,4.19,4.29,2.69,3.84,2.74,3.07,3.11,4.38,2.57,2.83,5.04,5.64,1.79,1.91,4.45,1.71,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,5.03,3.38,0.93,1.75,1.2,4.21,2.94,4.43,4.74,3.3,5.38,1.1,2.16,1.17,3.04,4.33,2.85,4.01,3.77,1.45,5.89,2,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,4.51,8.05,4.85,2.14,5.75,2.43,3.54,2.13,5.2,2.25,1.73,3.28,3.03,3.53,2.31,6.37,5.94,1.18,9.31,4.8,5.26,4.3,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,4.28,2.07,2.36,6.91,6.07,6.4,5.38,3.85,5.4,0.36,5.56,3.76,4.14,6.86,3.77,5.12,7.78,0.93,11.48,7.8,4,1.26,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.56,2.69,5.02,0.68,3.71,5.07,6.32,2.87,8.03,2.49,2.43,2.1,7.76,3.37,6.05,3.53,6.6,2.14,5.12,7.19,4.94,0.28,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,12.92,4.41,6.02,6.81,8.3,2.9,6.24,8.85,2.35,1.33,3.44,4.98,3.35,1.25,7.51,2.74,9.21,3.97,3.92,6.75,4.86,5.04,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,7.04,10.57,10.67,4.44,1.99,4.81,9.72,0.88,10.96,8.64,2.58,9.9,8.28,12.34,3.65,5.21,9.14,2.78,3.08,3.74,1.49,6.42,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,5.74,5.83,6.32,4.01,5.19,3.41,6.12,4.16,5.34,7.44,5.37,12.19,3.24,10.88,4.98,2.74,10.59,7.86,7.71,7.83,6.05,11.09,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,60.08,61.87,53.64,54.52,50.25,52.44,63.59,50.97,68.07,53.23,55.11,56.16,57.98,67.63,49.88,46.58,71.32,41.37,63.04,56.64,55.84,47.79,61.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This gauge is a second gauge at this location for the period 1938 to 1941 (when the other gauge was abandoned) onwards and where the gauges overlap this gauge records on average 6 inches more than the main gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relevant Met Office files are:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_18B_pt1-page-172.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_21_pt1-page-102.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_19_pt1-page-116.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
