BRIGHTON-DYKE-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ299059,Long,-0.15654376,Lat,50.838059,Elevation,240,ft,,,,,,,,,,,,,
Station no,480,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.86,4.04,1.47,2.42,4.05,3.73,2.26,5.09,1.35,3.08,2.44,2.25,2.3,2.43,,,,,,
February,,0.53,2.59,4.28,0.51,3.39,3.53,3.22,1.37,1.78,1.58,2,0.08,2.13,0.05,,,,,,
March,,1.37,1.47,2.47,1.69,0.56,0.49,3.23,2.1,0.08,1.72,0.4,1.29,2.3,3.26,,,,,,
April,,0.91,3.04,3.47,2.62,3.56,3.6,1.98,3.33,0.78,1.93,2.85,1.93,1.15,2.44,,,,,,
May,1.18,1.77,0.86,2.9,3.76,3.53,3.63,0.9,1.27,1.94,2.01,2.55,3.12,2.18,0.4,,,,,,
June,2.06,0.01,1.08,0.58,2.78,0.09,3.67,3.69,2.85,2.73,0.86,1.56,1.46,2.04,1.31,,,,,,
July,4.65,0.42,2.94,3.16,3.58,4.49,1.95,2.07,2.13,1.75,2.55,3.26,3.13,1.59,1.81,,,,,,
August,1.38,1.71,2.71,2.63,2.92,2.53,3.42,4.74,1.94,2.58,3.87,2.34,0.7,1.37,2.35,,,,,,
September,2.26,0.75,2.21,2.91,3.31,3.07,0.68,6.06,0.83,0.75,2.63,2.01,2.79,3.77,1.48,,,,,,
October,2,0.89,0.75,6.48,5.27,4.06,2.59,2.3,7.41,3.69,2.54,0.39,6.87,1.87,1.84,,,,,,
November,2.2,2.08,1.71,1.94,3.3,3.39,6.83,3.43,3.99,8.93,5.64,4.32,1.59,1.07,5.1,,,,,,
December,3.1,2.29,3.14,3.21,4.15,4.82,0.55,4.37,3.95,6.2,2.88,1.7,0.72,0.86,8.56,,,,,,
Total,,15.59,26.54,35.5,36.31,37.54,34.67,38.25,36.26,32.56,31.29,25.82,25.93,22.63,31.03,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1934 Mar IDR,,,,,,,,,,,,,,,,,,,,,
