BUNTINGFORD-ASPENDEN-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TL354281,Long,-0.031919461,Lat,51.934944,Elevation,329,ft,,,,,,,,,,,,
Station no,RR7507,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.01,,,2.7,,1.12,3.36,3.04,1.49,2.39,1.6,3.52,1.42,
February,,,,,,,3.47,,,2.49,,1.23,1.22,3.24,1.05,0.96,2.5,2.31,1.32,
March,,,,,,,1.55,,,1.79,,1.42,2.55,1.69,0.78,0.52,2.89,2.39,1.39,
April,,,,,,,1.72,,,2.34,,2.64,1.84,1.08,1.55,1.37,2.66,2.26,1.4,
May,,,,,,,2.39,,,3.89,,0.96,2.98,1.79,0.89,2.35,0.7,2.2,5.28,
June,,,,,,,3.13,,,1.04,,3.55,2.95,2.47,1.35,2.55,1.61,1.09,2.07,
July,,,,,,2.83,2.4,,,0.91,,3.62,3.37,2.28,1.42,4.73,1.21,3.89,0.81,
August,,,,,,3.93,2.87,,,1.39,,0.6,1.74,2.84,1.74,1.24,2.55,3.66,4.14,
September,,,,,,0.59,3.93,,,3.77,,4.64,1.01,1.99,2.66,2.83,4.16,1.52,1.07,
October,,,,,,7.14,1.82,,,1.37,,0.94,4.3,2.45,2.22,3.95,1.11,1.09,2.61,
November,,,,,,2.05,2.3,,,2.82,,1.14,3.28,2.11,2.32,4.53,3.35,3.46,4.58,
December,,,,,,1.2,2.04,,,4.13,,1.21,3.41,0.57,2.56,1.14,5.02,2.03,1.1,
Total,,,,,,,30.63,,,28.64,,23.07,32.01,25.55,20.03,28.56,29.36,29.42,27.19,
