NOTTINGHAM-WOODBOROUGH-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SK575413,Long,-1.1453393,Lat,52.965988,Elevation,259,ft,,,,,,,,,,,,
Station no,RR7220,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.74,1.45,0.21,0.73,2.44,2.15,,,,,,
February,,,,,,,,,1.11,2.94,1.95,4.13,1.98,2.82,,,,,,
March,,,,,,,,,0.49,1.06,2.08,2.17,1.76,1.27,,,,,,
April,,,,,,,,,1.39,2.74,1.62,0.98,2.96,2.35,,,,,,
May,,,,,,,,,3.96,3.34,1.69,1.33,2.54,1.83,,,,,,
June,,,,,,,,,2.22,4.96,6.02,1.96,4.77,4.54,,,,,,
July,,,,,,,,,1.41,2.69,5.85,1.87,3.36,2.62,,,,,,
August,,,,,,,,,8.41,3.64,1.98,5.07,1.7,2,,,,,,
September,,,,,,,,,2.06,3.31,4.35,1.87,2.37,4.49,,,,,,
October,,,,,,,,,2.94,1.4,5.18,3.08,5.07,2.61,,,,,,
November,,,,,,,,,2.7,1.61,2.31,2.9,3.53,3.89,,,,,,
December,,,,,,,,,2.19,0.99,3.38,2.43,4.77,1.38,,,,,,
Total,,,,,,,,,30.62,30.13,36.62,28.52,37.25,31.95,,,,,,
