"SALISBURY PLAIN CHITTERNE HOUSE",,,,,,,,,,,,
Grid ref,ST992442,Long,-2.012830,Lat,51.197017,,,,,,,
Station no,RR140,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.39,1.62,0.83,2.67,3.57,0.48,5.21,0.57,1.78,0.83,,
February,4.00,1.17,0.80,1.34,3.29,0.56,2.90,1.34,1.21,0.63,,
March,1.13,1.53,1.61,3.65,1.60,4.34,1.29,0.46,3.26,3.73,,
April,1.67,1.90,1.69,2.50,1.28,2.40,1.18,3.41,2.45,1.42,,
May,1.60,1.06,2.30,2.95,2.17,0.36,1.78,2.78,1.51,0.95,,
June,2.35,1.05,3.11,3.60,0.99,4.04,2.69,1.66,0.61,3.37,,
July,1.08,2.52,0.94,3.23,2.83,0.23,0.83,1.86,1.89,2.71,,
August,2.81,1.61,3.26,3.57,2.48,3.58,1.24,1.81,3.45,2.49,,
September,0.57,2.32,1.29,2.03,1.90,1.58,0.90,0.42,1.53,3.52,,
October,2.55,1.73,1.66,7.35,1.21,1.83,6.07,6.77,1.30,4.96,,
November,2.74,0.50,2.96,1.75,1.77,3.85,3.08,2.80,1.65,0.59,,
December,5.28,5.32,1.68,3.17,2.72,0.85,2.00,3.88,2.19,3.65,,
Total,29.17,22.33,22.13,37.81,25.81,24.10,29.17,27.76,22.83,28.85,,
Calc annual,29.17,22.33,22.13,37.81,25.81,24.10,29.17,27.76,22.83,28.85,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
