SALISBURY PLAIN CHITTERNE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST992442,Long,-2.01283,Lat,51.197017,Elevation,319,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,
January,,,,,,0.7,2.82,3.51,0.72,1.95,4.19,0.71,2.92,3.14,1.56,3.2,4.61,3.64,3.95,3.75,2.05,2.47,5.03,4.61,2.65,3.95,1.52,5.77,1.65,3.49,0.48,2.25,1.4,2.46,3.04,2.41,3.56,2.82,0.69,0.64,3.43,1.89,1.15,1.76,2.53,3.74,0.62,2.33,0.36,4.79,3.39,1.62,0.83,2.67,3.57,0.48,5.21,0.57,1.78,0.83,3.3,0.71,4.25,4.85,0.7,3.87,0.83,0.8,3.41,4.48,3.45,2.66,3.98,1.55,3.9,3.42,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.19,1.59,0.82,1.15,2.07,1.28,2.55,0.4,0.72,1.22,2.55,4.51,2.35,1.06,3.09,2.52,1.27,2.46,1.08,2.18,2.52,2.89,1.25,1.77,3.61,3.97,3.57,2.14,4.81,1.97,3.5,0.64,0.62,0.96,1.78,0.68,0.03,0.86,4,2.57,0.16,0.3,3.03,1.75,3.15,4,1.17,0.8,1.34,3.29,0.56,2.9,1.34,1.21,0.63,3.71,1.39,2.26,1.02,3.24,5.19,4.17,1.01,1.06,2.33,0.69,0.43,3.51,6.11,0.44,4.28,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.08,1.23,2,0.81,1.73,2.09,2.65,4.2,1.1,2.84,1.18,2.17,3.31,2.56,1.24,1.48,1.74,2.46,2.93,0.87,1.03,3.15,2.01,1.08,0.6,1.73,2.33,1.29,1.26,2.45,1.06,1.74,1.73,3.72,2.17,1.07,1.94,0.73,0.4,1.81,2.26,2.84,3.79,0.59,0.63,1.13,1.53,1.61,3.65,1.6,4.34,1.29,0.46,3.26,3.73,0.86,2.36,4.26,2.76,4.35,0.94,3.12,2.85,0.8,4.73,1.84,1.61,2.54,1.9,1.1,0.46,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.74,3.69,1.93,2.95,2.34,2.19,0.3,2.11,0.81,1.71,0.91,2.66,2.16,2.8,0.94,0.39,3.31,2.31,1.15,1.54,1.28,2.92,3.67,2.9,2.95,1.87,0.51,3.83,0.93,1.4,2.24,2.33,1.06,1.87,3.08,2.66,0.71,0.82,0.08,2.11,2.28,0.93,2.15,1.52,2.85,1.67,1.9,1.69,2.5,1.28,2.4,1.18,3.41,2.45,1.42,3.03,1.59,0.05,2.41,1.66,1.02,0.57,1.71,2.21,2.33,4.59,0.96,3.52,2.57,3.32,2.11,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.64,3.01,2.26,1.69,1.25,2.24,1.26,5.1,1.65,0.9,2.3,2.03,2.35,1.34,4.06,1.19,0.91,2.05,1.18,0.52,2.2,0.57,2.33,4.22,3.1,0.72,1.2,2.95,2.08,1.26,3.13,4.5,1.74,2.04,1.35,2,3.22,0.94,1.18,1.81,0.18,0.19,1.21,3.41,1.29,1.6,1.06,2.3,2.95,2.17,0.36,1.78,2.78,1.51,0.95,1.5,1.22,1.35,2.98,1.7,3.46,2.13,2.75,1.67,0.43,1.93,2.48,0.59,1.15,4.62,5.06,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.09,1.29,1.59,0.52,3.44,6.17,2.79,2.58,5.53,1.22,2.32,1.6,1.14,0.24,1.31,0.33,2.18,2.56,2,1.09,2.74,1.39,1.07,3,4.57,1.77,2.25,3.67,2.3,3.62,1.23,0.29,0.78,2.67,0.63,2.64,1.2,1.38,0.65,1.98,0.73,0.98,3.39,2,1.41,2.35,1.05,3.11,3.6,0.99,4.04,2.69,1.66,0.61,3.37,5.35,1.74,3.54,0.45,2.15,0.81,2.18,4.54,0.87,0.58,2.3,0.31,0.97,0.45,2.16,0.04,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.3,1.48,2.05,1.77,2.37,1.33,3.45,2.01,0.64,0.37,1.1,2.61,4.03,0.63,0.68,1.07,4.25,2.54,1.61,1.03,4.89,0.32,3.61,0.83,3,3.68,1.88,3.36,4.13,2.11,0.12,1.97,0.59,4.14,3.44,2.93,3.44,1.54,3.91,3.93,3.46,0.96,1.76,0.36,0.36,1.08,2.52,0.94,3.23,2.83,0.23,0.83,1.86,1.89,2.71,1.56,0.05,1.59,0.57,3.26,4.16,0.88,3.56,5.56,1.87,4.72,0.36,4.61,1.01,4.35,3.47,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.55,2.41,1.47,1.75,2.47,4.31,0.65,1.41,3.24,0.7,4.24,2,2.47,5.38,1.24,3.05,2.05,1.96,2.42,2.45,1.11,3.16,3.48,7.13,4.66,1.02,5.78,1.66,1.31,1.43,0.91,1.1,2.25,1.32,2.31,2.71,6.81,3.79,2.24,1.97,2.51,2.3,3.11,1.47,1.2,2.81,1.61,3.26,3.57,2.48,3.58,1.24,1.81,3.45,2.49,2.43,0.7,5.01,0.81,2.59,2.25,3.82,4.84,1.78,2.94,1.09,1.27,3.33,3.42,2.21,2.2,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.36,2.88,1.79,2.26,3.02,2.96,2.41,2.47,2.56,1.93,0.04,6.57,2.35,4.44,4.84,1.22,5.01,1.42,2.2,4.82,2.41,3.73,2.67,1.24,3.13,3.84,1.86,2.77,3.36,1.23,4.34,2,2.15,1.65,1.42,1.74,1.47,2.03,1.24,2.05,0.96,5.97,2.7,1.64,2.51,0.57,2.32,1.29,2.03,1.9,1.58,0.9,0.42,1.53,3.52,0.18,0.94,1.43,2.8,0.94,1.44,1.55,1.57,5.92,1.2,0.63,1.57,1.57,2.43,3.78,3.84,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,6.21,2.97,4.78,1.93,4.03,2.2,1.43,4.84,4.43,2.13,5.87,1.47,2.92,2.62,2.59,4.8,2.05,4.76,1.62,4.88,6.21,2.44,1.93,3.94,0.81,5.48,1.75,6.16,2.96,0.61,3.48,4.42,2.37,1.44,2.98,1.07,7.51,4.65,3.46,3.02,3.45,3.19,1.13,3.6,2.12,2.55,1.73,1.66,7.35,1.21,1.83,6.07,6.77,1.3,4.96,4.3,2.35,4.25,3.11,2.74,3.8,5.39,4.55,1.6,1.06,2.61,0.89,1.86,5.39,5.18,4.44,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,0.7,1.03,1.15,1.46,3.58,2.5,4.42,0.73,1.74,2.62,3.69,1.82,0.3,1.59,1.82,2.22,0.7,4.14,3.3,2.45,4.45,3.42,6.44,2.78,0.38,2.48,3.48,3.58,3.5,1.75,3.87,3.5,3.14,5.46,1.33,1.81,3.74,2.63,1.9,6.68,5.31,0.8,0.87,3.76,3.41,2.74,0.5,2.96,1.75,1.77,3.85,3.08,2.8,1.65,0.59,3.81,2.94,1.88,3.47,4.72,3.07,4.09,0.8,2.35,1.85,2.25,2.17,1.55,2.16,2.91,2.26,,,,,,,,,,,,,,,,,,,,,,,,
