BLACKLEY NR MANCHESTER,,,,,,,,,,,,,,,,,,,,
Grid ref,SD858033,Long,-2.215668,Lat,53.526168,Elevation,240,ft,,,,,,,,,,,,
Station no,RR1510,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,,,,,,,,1.46,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.66,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,4.8,,,,,,,,,,
October,,,,,,,,,,0.63,,,,,,,,,,
November,,,,,,,,,,2,,,,,,,,,,
December,,,,,,,,,,4.45,,,,,,,,,,
Total,,,,,,,,,26.96,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR for Blackley Rectory on Hill Lane; the observer was Rev. R.A. Singleton who was curate at St Peters from 1809,,,,,,,,,,,,,,,,,,,,
