DEVIZES ASYLUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU009599,Long,-1.988466,Lat,51.338189,Elevation,385,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.11,0.94,0.64,2.78,1.96,0.77,2.14,2.19,2.77,0.53,2.08,0.4,4.14,3.07,1.22,1.06,3.04,3.12,0.52,4.1,0.72,1.5,0.81,2.73,0.95,3.65,4.12,0.31,3.99,1.15,0.96,3,3.36,3.16,2.85,2.92,1.44,3.98,2.61,3.24,3.54,3.89,1.55,4.03,1.43,2.36,2.47,2.32,0.67,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.8,0.88,1.68,0.82,0,1.5,3.9,2.41,0.14,0.36,2.6,1.77,3.07,4.58,1.02,0.84,1.92,3.12,0.6,2.3,1.1,0.93,0.49,3.29,2.12,2.16,1.19,2.78,4.88,3.17,0.77,0.75,1.81,0.85,0.43,2.8,4.62,0.12,4.05,1.76,4.01,1.61,0.74,0.62,2.22,0.05,4.04,0.07,2.48,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.54,3.19,2.26,1.34,1.73,0.48,0.38,1.8,2.25,2.88,3.98,0.44,0.37,1.54,2.07,1.68,3.58,1.35,4.07,1.36,0.78,3.23,3.42,0.63,2.31,4.55,2.36,4.34,1.26,3.19,2.4,0.47,4.4,0.92,1.3,0.77,1.66,1.07,0.3,0.21,2.43,1.93,0.28,1.95,0.27,2.31,2.73,2.21,0.98,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.12,1.92,3.22,1.63,1.15,0.73,0.05,1.67,1.95,0.98,2.17,1.8,2.93,1.89,2.34,1.49,3.02,1.5,2.54,1.17,3.93,2.76,1.55,2.49,1.03,0.03,2.98,1.4,1.15,0.66,0.88,2.39,2.24,5.35,0.75,3.13,2.21,3.24,1.91,2.73,1.48,1.13,0.53,2.72,2.7,2.6,1.57,2.25,4.42,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,0.99,1.08,2.43,2.08,2.2,0.9,0.96,1.83,1.03,0.27,1.3,2.91,2.8,2.35,1.48,2.51,4.23,2.85,0.45,1.91,2.09,1.41,1.12,1.89,0.87,1.55,2.79,1.29,3.1,1.28,2.31,1.61,0.68,2.33,1.99,0.57,0.94,5.26,3.97,2.95,0.88,1.07,1.57,1.59,2.79,5.73,2.21,0.98,0.9,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.36,3.3,1.55,3.48,1.09,1.48,2.24,2.56,0.91,1.41,2.97,1.6,1.91,2.28,1.34,3.15,4.14,1.21,3.62,2.7,2.29,0.87,2.81,5.22,1.9,3.45,0.59,1.58,2,2.48,2.06,1.24,0.97,2.68,0.16,1.45,0.46,2.24,0.12,2.27,2.65,1.94,1.23,1.55,2.11,1.28,1.38,0.81,4.99,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.99,5.2,3.52,3.08,2.73,1.8,4.72,4.07,4.46,1.76,1.05,0.47,0.56,1.98,2.43,1.17,2.9,2.97,0.94,1.02,2.37,1.87,2.64,1.66,0.01,2.24,1.33,4,3.87,0.91,3.59,5.4,2.09,5.14,0.54,2.72,0.9,3.83,4.01,2.07,4.67,2.26,1.53,1.94,4.7,5.52,3.2,1.06,0.59,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.23,1.78,2.82,2.4,6.55,3.7,1.62,2.47,2.99,3.04,3.94,1.46,1,2.75,1.89,3.25,3.35,2.6,5.38,1.3,2.32,3.29,2.61,3.39,0.98,4.68,1.3,3.2,2.45,3.25,4.98,1.73,2.91,1.27,0.94,2.95,3.22,2.74,2.15,1.05,4.48,2.13,1.51,2.99,3.69,1.13,0.91,2.63,2.19,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.04,1.77,1.15,1.42,1.84,2.34,1.25,2.05,0.89,5.65,2.41,0.85,2.76,1.05,1.98,1.39,2.21,1.72,1.38,1.05,0.58,1.6,2.77,0.19,0.75,1.48,3.49,1.18,1.86,1.15,1.41,5.56,1.52,1.25,1.68,1.84,3.3,3.5,3.24,0.89,5.45,1.47,0.29,3.35,2.33,3.54,2.72,2.82,5.05,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.92,1.15,2.46,1.15,6.88,3.82,3.75,3.42,3.21,2.39,1.33,4.63,1.86,2.99,1.6,1.74,6.97,1.09,1.62,5.71,6.24,1.32,4.14,3.94,1.77,3.85,2.72,2.83,3.45,4.98,4.94,1.31,1.37,2.33,1.07,0.66,5.43,4.86,3.06,3.2,1.83,4.26,4.22,2.06,0.96,5.04,2.65,1.9,5.19,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
