STANAGE-REDMIRES-MAIN-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK247840,Long,-1.6303951,Lat,53.352314,Elevation,1395,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2689/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.85,6.72,4.89,7.6,3.45,5.17,,,6,,5.1,,8.52,2.06,1.96,3.79,,1.79,3.61,4,6.02,2.65,4.48,,
February,,,,,,4.22,7.69,1.9,2.4,3.36,4.98,,2.78,3.24,,6.19,,,2.13,5.64,3.9,,2.69,,,1.8,3.48,5.82,0.3,
March,,,,,,3.56,4.36,1.27,3.1,2.94,6.1,,1.64,0.67,1.09,1.76,,1.53,1.49,1.57,5.54,2.13,2.61,2.87,4.07,1.86,3.57,3.56,2.04,
April,,,,,,2.47,2.55,0.34,2.79,2.68,2.61,2.08,2.51,2.85,2.17,1.88,4.13,1.93,3.35,3.73,,2.6,3.14,0.74,1.37,2.41,0.26,1.02,4.55,
May,,,,,,2.23,3.98,3,2.27,1.48,3.45,5.28,,4.01,,3.96,3.49,2.04,2.55,2,4.7,2.95,2.65,4.11,4.19,0.77,1.62,4.17,1.44,
June,,,,,,4.29,1.73,2.89,2.75,0.86,1.05,1.25,2.62,2.83,4.55,4.99,3.12,4.25,0.76,1.71,1.4,2.07,3.97,2.9,3.98,4.79,1.68,5.21,,
July,,,,,,4.91,4.06,4.44,6.27,3.3,4.29,3.63,1.43,3.81,2.02,3.91,2.83,1.54,3.96,2.56,1.59,1.62,3.94,3.72,2.21,7.49,3.85,6.46,,
August,,,,,,1.84,1.41,1.73,3.14,1.18,3.92,4.27,3.73,3.03,3.4,5.17,0.53,5.41,2.04,4.14,4.85,2.15,4.21,7.82,0.96,6.72,7.32,3.35,,
September,,,,,,4.84,1.49,3.73,2.25,2.97,0.47,2.3,4.51,5.75,1.76,6.31,2.05,2.12,1.91,5.02,2.14,4.43,2.07,3.85,2.03,5.11,6.59,3.8,,
October,,,,,,5.12,4.2,6.48,5.29,4.63,4.7,4.82,2.52,4.46,6.76,2.55,1.2,2.11,3.95,1.76,1.37,7.03,2.38,4.77,3.04,2.78,3.1,3.49,,
November,,,,,,4.67,2.73,5.64,7.11,8.1,4.07,1.88,,6.97,1.03,9.88,5.06,1.83,6.16,5.77,10.32,3.25,2.59,7.07,2.89,1.68,2.9,1.1,,
December,,,,,,4.09,4.94,5.53,2.38,3.52,1.85,3.16,1.84,4.15,2.88,4.51,5.61,4.12,5.87,2.28,4.38,3.22,1.95,6.22,4.79,5.07,4.85,4.96,,
Total,,,,,,47.09,45.86,41.84,47.35,38.47,42.66,,,47.77,,56.21,,,36.23,38.14,,,33.99,,,46.5,41.87,47.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is in an area called Stanage. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
