ELIE  THE CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT 49089 99965,Long,-2.821895,Lat,56.189573,Elevation,9,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,0.93,1.47,2.52,1.48,1.58,1.65,2.37,2.06,3.3,2.03,3.12,2.01,1.1,2.03,1.58,3.15,1.67,4.26,0.97,1.85,2.17,1.51,2.03,,,,,,,
February,,1.33,1.92,0.73,1.98,2.61,2.51,0.63,2.56,2.13,1.72,0.2,1.84,2.47,0.51,2.92,3.08,1.13,1.3,1.15,0.68,1.44,0.29,1.65,,,,,,,
March,,1.21,2.01,2.91,3,1.04,3,1.09,1.05,1.31,1.91,2.17,1.76,1.03,0.93,1.62,1.11,1.81,2.16,0.25,1.58,0.93,3.08,0.88,,,,,,,
April,,0.97,0.06,1.54,0.62,0.7,1.77,1.59,0.59,2.13,1.29,1.23,1.66,1.79,1.1,2.27,1.52,0.93,1.03,1.74,1.72,1.65,1.74,2.23,,,,,,,
May,,,1.41,1.69,1.87,1.05,2.94,1.62,4.42,0.83,2.68,1.67,1.1,1.4,3.93,3.11,2.01,1.99,1.2,1.71,1.21,2.47,2.61,1.43,,,,,,,
June,,,2.97,1.46,0.42,1.77,3.17,1.49,0.4,1.81,0.75,0.6,1.56,1.11,1.77,0.44,2.7,2.31,4.14,1.75,1.39,3.99,0.93,1.51,,,,,,,
July,,,1.25,0.83,1.65,2.38,4.37,1.23,4.08,0.75,2.67,1.89,4.21,1.42,4.62,1.52,2.78,2.97,1.6,2.15,2.75,5.28,2.88,2.75,,,,,,,
August,,0.86,3.46,1.99,1.97,3.51,2.96,4.65,1.36,2.2,3.74,2.63,1.49,3.75,1.87,1.62,1.9,5.5,5.49,3.74,4.66,2.42,0.45,1.03,,,,,,,
September,,0.89,2.92,1.81,0.51,1.73,0.83,1.02,3.85,1.62,1.41,1.01,2.3,1.96,3.15,3.17,3.94,4.74,2.23,0.49,3.76,1.36,1.98,1.8,,,,,,,
October,,1.84,3.18,1.45,1.9,2.17,3.8,2.44,2.39,2.59,1.27,3.22,2.34,1.56,3.46,1.95,3.85,3.09,2.6,1.8,1.7,0.78,5.37,2.31,,,,,,,
November,,4.14,1.17,1.49,3.05,1.42,3.13,2.03,1.15,4.67,2.23,1.51,1.33,2.29,1.78,0.76,3.35,1.47,2.77,2.77,2.7,4.25,1.52,1.47,,,,,,,
December,,2.75,2.43,1.78,3.38,5.43,2.75,1.44,1.48,3.46,2.77,1.75,1.56,2.48,2.59,1.99,0.24,1.72,1.99,2.32,1.42,0.49,4.12,1.24,,,,,,,
Total,,,24.25,20.2,21.83,25.39,32.88,21.6,25.39,26.8,24.47,21,23.16,22.36,27.74,22.95,29.63,29.33,30.77,20.84,25.42,27.23,26.48,20.33,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
