"KINCRAIG, INSHRIACH",,,,,,,,,,,,
Grid ref,NH872072,Long,-3.865665,Lat,57.141796,,,,,,,
Station no,RR8208,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.13,5.10,1.79,2.19,3.32,0.57,1.14,2.45,,
February,,,0.36,4.46,2.00,2.45,1.92,2.84,2.57,0.74,,
March,,,1.84,4.34,1.00,4.00,2.20,1.77,4.14,1.40,,
April,,,1.35,1.43,3.46,1.82,1.96,2.07,1.64,2.17,,
May,,,3.23,3.08,3.17,2.51,3.21,2.07,1.53,2.62,,
June,,,1.74,2.11,1.45,0.76,0.86,3.12,2.14,1.29,,
July,,,2.21,3.77,0.97,2.70,1.55,1.62,2.30,3.21,,
August,,,2.92,3.71,3.37,3.20,4.07,2.87,2.32,2.77,,
September,,,1.42,2.01,1.96,1.96,1.76,0.76,4.01,1.83,,
October,,,2.82,4.13,1.65,2.28,4.50,3.11,0.12,4.76,,
November,,,0.83,2.76,1.69,3.28,3.32,1.85,2.84,1.44,,
December,,,3.97,1.07,2.24,1.69,1.31,1.88,1.39,1.53,,
Total,,,24.82,37.97,24.75,28.84,29.98,24.53,26.14,26.21,,
Calc annual,0.00,0.00,24.82,37.97,24.75,28.84,29.98,24.53,26.14,26.21,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
