"KINCRAIG, INSHRIACH",,,,,,,,,,,,,,,,,,,,
Grid ref,NH872072,Long,-3.865665,Lat,57.141796,Elevation,750,ft,,,,,,,,,,,,
Station no,RR8208,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.13,5.1,1.79,2.19,3.32,0.57,1.14,2.45,3.21,1.17,1.63,1.25,2.58,2.73,4.29,1.8,,
February,,,0.36,4.46,2,2.45,1.92,2.84,2.57,0.74,3.06,3.46,1.53,2.34,2.64,1.94,3.7,1.19,,
March,,,1.84,4.34,1,4,2.2,1.77,4.14,1.4,1.39,2,2.04,3.46,2.4,1.82,1.23,1.75,,
April,,,1.35,1.43,3.46,1.82,1.96,2.07,1.64,2.17,4.02,2.09,1.3,2.02,1.53,3.14,2.47,1.75,,
May,,,3.23,3.08,3.17,2.51,3.21,2.07,1.53,2.62,0.63,0.9,1.78,1.9,2.72,0.89,2.69,1.59,,
June,,,1.74,2.11,1.45,0.76,0.86,3.12,2.14,1.29,2.36,2.09,2.19,2.21,1.54,0.67,2.92,2.47,,
July,,,2.21,3.77,0.97,2.7,1.55,1.62,2.3,3.21,2.72,1,2.26,0.76,2.65,3.77,2.9,1.94,,
August,,,2.92,3.71,3.37,3.2,4.07,2.87,2.32,2.77,3.4,0.81,3.51,1.31,2.51,3.08,2.63,4.83,,
September,,,1.42,2.01,1.96,1.96,1.76,0.76,4.01,1.83,0.9,1.28,1.31,2.1,0.79,4.14,0.99,1.96,,
October,,,2.82,4.13,1.65,2.28,4.5,3.11,0.12,4.76,1.51,2.57,3.17,1.49,0.75,0.96,6.66,4.52,,
November,,,0.83,2.76,1.69,3.28,3.32,1.85,2.84,1.44,4.5,6.32,3.41,2.42,5.41,2.32,4.06,4.24,,
December,,,3.97,1.07,2.24,1.69,1.31,1.88,1.39,1.53,1.73,2.85,5.6,3.08,6.29,2.73,2.43,1.54,,
Total,,,24.82,37.97,24.75,28.84,29.98,24.53,26.14,26.21,29.43,26.54,29.73,24.34,31.81,28.19,36.97,29.58,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8208,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
