KIRKCONNEL SCHOOL,,,,,,,,,,
Grid ref,NX780947,Long,-3.9198541,Lat,55.231383,Elevation,534,ft,,
Station no,RR7329,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,0.8,2.5,2,4.4,8.5
February,,,,,,0.3,3.7,3.1,0.9,6.4
March,,,,,,2.9,0.4,4.8,2.9,6.8
April,,,,,,1.5,3.5,2.9,2.2,2.5
May,,,,,,1.6,3.3,2.75,3.8,0.26
June,,,,,,2.4,5.3,2.8,4.2,1.5
July,,,,,,3.3,2.4,2.3,4.1,2.8
August,,,,,,4.3,5.6,2.5,3.4,3.2
September,,,,,,1,3,3.6,4.1,5.7
October,,,,,,6.5,3.4,3,6.8,3.1
November,,,,,,1.9,4.2,3.4,2,4.4
December,,,,,,2.8,5.6,6.4,5.8,4.5
Total,,,,,,29.3,42.9,39.55,44.6,49.66
