SOUTHPORT (BEDFORD RD. PARK),,,,,,,,,,,,
Grid ref,SD332146,Long,-3.011448,Lat,53.623656,,,,,,,
Station no,3009/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.78,3.53,1.42,2.79,2.86,,-999.00,,3.11,,,
February,2.63,1.09,0.92,3.13,2.37,,-999.00,,0.27,,,
March,4.65,1.85,1.15,2.23,1.64,,-999.00,,1.44,,,
April,1.46,2.81,2.26,1.09,1.77,,-999.00,,2.62,,,
May,3.05,2.60,2.08,2.95,2.26,,-999.00,,1.52,,,
June,0.93,2.27,1.90,2.84,3.53,,-999.00,,3.37,,,
July,1.79,1.21,2.76,4.08,0.99,,-999.00,,3.96,,,
August,4.83,2.76,3.89,5.51,,,-999.00,,0.52,,,
September,3.19,3.82,3.68,4.14,,,-999.00,,0.47,,,
October,1.43,3.61,1.71,7.06,,,-999.00,,3.14,,,
November,7.40,2.45,4.25,6.52,,,-999.00,,4.59,,,
December,6.70,3.68,1.61,3.53,,,-999.00,,6.36,,,
Total,41.84,31.68,27.63,45.87,,,,,31.37,,,
Calc annual,41.84,31.68,27.63,45.87,15.42,0.00,0.00,0.00,31.37,0.00,,
Difference,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,0.00,NaN,,
