SOUTHPORT (BEDFORD RD. PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD332146,Long,-3.011448,Lat,53.623656,Elevation,38,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3009/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.34,3.65,2.3,2.41,1.8,4.14,1.62,3.45,4.34,2.48,1.45,3.97,4.12,3.65,2.1,4.26,2.53,6.82,2.01,1.36,3.78,3.53,1.42,2.79,2.86,,,,,
February,3.16,0.04,2.88,0.09,3.14,2.28,4.53,1.09,2.03,2.24,3.18,1.2,2.13,1.28,3.87,4.54,0.96,1.69,1.42,3.87,2.63,1.09,0.92,3.13,2.37,,,,,
March,0.35,1.94,2.2,1.55,0.97,1.87,1.24,1.03,1.88,2.04,2.72,2.73,0.75,0.91,1.05,0.84,5.1,1.29,2.36,1.26,4.65,1.85,1.15,2.23,1.64,,,,,
April,2.58,2.77,1.48,2.31,2.23,1.23,2.78,0.2,2.08,1.97,1.44,1.27,2,2.21,1.74,1.08,3.03,1.43,2.79,2.18,1.46,2.81,2.26,1.09,1.77,,,,,
May,2.38,3.55,1.62,3.26,1.46,0.97,1.89,3.5,1.14,2.43,2.1,3.54,3.83,1.81,3.71,2.12,4.35,1.8,2.68,0.8,3.05,2.6,2.08,2.95,2.26,,,,,
June,5.99,0.68,1.42,1.96,3.55,5.3,1.87,4.07,3.12,0.73,0.46,0.49,2.51,1.93,2.75,3.46,2.62,4.33,0.71,1.91,0.93,2.27,1.9,2.84,3.53,,,,,
July,2.47,4.42,1.88,1.29,0.81,2.91,1.89,2.9,5.82,4.74,1.41,3.49,4.2,2.76,2.98,4.19,2.44,2.69,2.07,2.85,1.79,1.21,2.76,4.08,0.99,,,,,
August,4.42,1.62,1.76,3.3,2.73,1.81,1.37,3.9,1.76,1.2,3.48,4.03,4.68,2.66,1.88,5.03,0.26,5.1,2.13,5.89,4.83,2.76,3.89,5.51,,,,,,
September,3.66,4.16,0.77,3.22,6.78,3.34,2.02,2.24,0.78,2.51,1.07,2.83,3.89,5.48,2.03,5.19,3.16,2.74,1.17,6.41,3.19,3.82,3.68,4.14,,,,,,
October,2.28,7.15,3.87,4.37,4.97,2.09,2.25,6.93,1.95,3.57,4.42,2.93,4.66,3.73,4.46,0.59,0.51,1.97,4.33,3.07,1.43,3.61,1.71,7.06,,,,,,
November,6.71,2.64,1.56,2.6,3.5,4.45,1.37,4.86,4.74,5.54,1.97,0.87,2.21,6.21,0.27,4.87,3.44,2.44,4.36,3.91,7.4,2.45,4.25,6.52,,,,,,
December,1.71,1.64,0.83,4.32,2.88,3.46,2.02,4.02,3.09,2.62,0.98,3.57,1.97,2.25,2.69,3.68,2.56,3.26,5.02,3.07,6.7,3.68,1.61,3.53,,,,,,
Total,39.05,34.26,22.57,30.68,34.82,33.85,24.85,38.19,32.73,32.07,24.68,30.92,36.95,34.88,29.53,39.85,30.96,35.56,31.05,36.58,41.84,31.68,27.63,45.87,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 and 1959 data crossed out on record so inccorectly transcribed and hence removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
