"PRESTWICH, POLEFIELD HOUSE",,,,,,,,,,,,,,,,,,,,
Grid ref,SD818047,Long,-2.2760877,Lat,53.538628,Elevation,350,ft,,,,,,,,,,,,
Station no,RR8000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,2.24,2.36,2.21,-999,,,,,,,,,
February,,,,,,,,1.96,3.2,1.7,-999,,,,,,,,,
March,,,,,,,,3.18,2.6,3.04,-999,,,,,,,,,
April,,,,,,,,1,2.39,4.04,-999,,,,,,,,,
May,,,,,,,,3.11,2.17,2.22,-999,,,,,,,,,
June,,,,,,,,5.91,1.2,2.1,-999,,,,,,,,,
July,,,,,,,,3.38,3.7,5.61,-999,,,,,,,,,
August,,,,,,,,3.44,2.74,3.44,-999,,,,,,,,,
September,,,,,,,,0.63,3.58,2.64,-999,,,,,,,,,
October,,,,,,,,3,1.66,5.53,-999,,,,,,,,,
November,,,,,,,,2.9,2.8,2.16,-999,,,,,,,,,
December,,,,,,,,3.36,2.11,5.19,-999,,,,,,,,,
Total,,,,,,,,34.11,30.51,39.88,33,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1910 Jan, Feb, Mar bracketed 9.0; April-June bracketed 7.0; July-Dec bracketed 17",,,,,,,,,,,,,,,,,,,,
