"PRESTWICH, POLEFIELD HOUSE",,,,,,,,,,,,
Grid ref,SD816046,Long,-2.279099,Lat,53.537722,,,,,,,
Station no,RR8000,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.24,2.36,2.21,,
February,,,,,,,,1.96,3.20,1.70,,
March,,,,,,,,3.18,2.60,3.04,,
April,,,,,,,,1.00,2.39,4.04,,
May,,,,,,,,3.11,2.17,2.22,,
June,,,,,,,,5.91,1.20,2.10,,
July,,,,,,,,3.38,3.70,5.61,,
August,,,,,,,,3.44,2.74,3.44,,
September,,,,,,,,0.63,3.58,2.64,,
October,,,,,,,,3.00,1.66,5.53,,
November,,,,,,,,2.90,2.80,2.16,,
December,,,,,,,,3.36,2.11,5.19,,
Total,,,,,,,,34.11,30.51,39.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.11,30.51,39.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
