HEYDOUR VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF011395,Long,-0.497,Lat,52.943,Elevation,244,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931
January,1.42,1.07,2.59,1.97,2.11,0.83,0.47,2.72,2.00,1.40,0.81,,3.46,1.57,1.44,1.16,0.70,1.78,2.25,2.23,2.12,1.80,1.62,0.87,1.64,1.92,1.29,0.69,1.09,1.46,1.40,0.96,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,1.73,3.03,2.18,3.46,1.47,2.91,2.42
February,1.66,2.00,1.46,1.73,1.32,1.44,1.43,1.98,1.84,1.54,0.97,,1.78,1.22,1.96,1.80,0.98,1.32,3.24,0.75,2.34,1.20,0.64,0.66,1.48,1.10,0.00,1.71,2.43,1.11,0.86,0.22,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,2.16,1.18,2.02,1.88,0.51,0.82,3.53
March,1.67,1.63,2.05,1.29,1.53,1.35,1.09,1.65,1.02,0.94,0.60,,1.73,0.47,0.83,1.40,1.89,1.65,1.01,1.09,1.00,2.16,0.80,3.04,2.70,1.90,1.06,0.77,0.68,0.50,2.06,2.43,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,1.24,0.77,2.23,1.89,0.43,2.30,0.57
April,0.39,0.69,2.41,2.06,3.05,0.66,3.92,2.65,0.95,1.18,0.78,,3.18,1.20,2.45,4.14,0.38,2.82,2.57,1.05,1.83,1.31,1.71,2.32,2.26,0.23,1.54,1.47,0.06,0.99,1.61,1.96,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,1.66,2.22,2.19,0.99,1.28,3.41,3.26
May,2.12,1.80,2.17,-999.00,4.07,0.58,0.98,3.26,2.54,1.19,0.90,,1.71,3.60,3.63,1.47,1.52,2.24,2.24,0.90,2.35,3.50,1.00,0.60,3.08,1.79,2.70,2.10,0.94,1.82,1.13,0.43,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,2.99,3.14,1.33,1.84,1.23,3.07,4.43
June,1.75,2.90,0.51,-999.00,1.86,1.16,2.44,2.83,1.99,0.67,1.60,,1.47,1.24,3.58,4.49,1.39,1.60,4.75,0.76,2.49,0.90,1.30,1.59,1.30,1.04,2.18,1.58,0.65,2.48,1.43,1.72,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,0.13,2.70,3.00,2.83,1.56,0.66,2.72
July,2.81,4.02,1.82,0.24,1.06,0.13,4.03,4.28,2.32,1.16,3.67,,2.75,0.98,3.92,5.84,2.65,2.57,3.59,3.68,0.66,2.89,0.85,4.28,2.02,2.37,1.79,2.03,3.04,1.49,2.45,1.83,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,1.07,1.70,2.89,1.11,1.48,3.50,4.54
August,3.65,3.30,1.77,2.68,1.42,1.36,1.28,2.92,2.46,2.04,1.19,,2.81,5.17,2.95,1.38,3.81,3.58,1.34,0.43,2.24,1.95,0.31,2.37,3.60,1.36,3.08,1.43,1.26,2.39,1.53,1.52,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,1.47,3.03,3.04,2.70,1.50,2.45,4.22
September,0.21,4.46,1.36,2.64,2.59,0.94,3.83,2.46,2.62,2.17,1.99,,1.96,1.63,3.94,2.70,2.91,3.10,4.17,1.78,2.63,2.45,2.72,1.60,2.26,0.71,1.38,1.83,0.78,1.35,0.17,4.79,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.92,1.26,4.42,0.79,0.82,5.17,3.18
October,5.00,1.97,2.24,2.56,1.86,3.11,1.76,3.36,1.70,1.37,2.46,,1.75,2.27,0.52,6.39,2.83,5.21,3.10,0.98,5.41,3.15,1.59,0.60,4.90,0.76,4.14,5.65,1.47,2.86,2.96,3.28,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,2.71,2.11,2.53,4.26,2.61,1.99,0.72
