STRATHFIELDSAYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU700620,Long,-0.99618,Lat,51.352774,Elevation,166,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.23,3,4.53,3.15,1.88,2.15,5,3.84,1.83,3.97,0.94,4.51,1.11,3.7,0.54,1.18,1.44,2.32,3.16,2.88,3.88,,,,,,,,,,,,,,,1.33,0.89,2.86,3.02,0.65,4.25,0.97,1.58,1.07,2.31,1.07,4.39,3.58,0.69,,,,,
February,,,,,,,4.01,2.12,1.09,2.41,1.92,1.08,1.5,1.69,1.63,2.42,2.54,1.66,1.79,3.59,3.89,2.52,1.67,4.42,2.16,2.72,0.68,,,,,,,,,,,,,,,1.64,1.1,1.43,3.01,0.57,2.16,1.51,1.42,0.53,3.31,1.57,1.97,1.15,3.78,,,,,
March,,,,,,,1.79,2.92,2.24,1.11,1.73,1.22,2.08,2.64,0.58,0.57,3.34,2.43,1.31,0.46,1.14,1.79,1.02,0.57,1.52,2.22,1.37,,,,,,,,,,,,,,,1.93,2.21,3.85,1.17,4.7,1.78,1.06,3.32,3.57,0.95,1.85,3.86,2.77,4.74,,,,,
April,,,,,,,2.15,2.36,2.82,1.28,0.3,3.31,2.1,0.73,1.74,1.62,2.25,2.84,2.5,3.33,1.62,0.63,2.79,1.04,1.88,1.68,1.44,,,,,,,,,,,,,,,2.32,1.18,2.06,1.2,1.7,0.6,3.82,3.49,1.66,2.13,1.5,0.05,3.15,0.98,,,,,
May,,,,,,,1.57,1.44,0.71,3.27,0.93,0.48,2.72,1.74,0.89,1.66,0.42,2.34,3.67,4.15,0.64,1.14,1.54,1.85,0.4,2.47,3.51,,,,,,,,,,,,,,,0.61,2.49,2.89,3.19,1.71,2.09,1.54,1.54,1.69,2.32,2.56,1.75,2.46,1.6,,,,,
June,,,,,,,3.19,1.19,0.5,0.94,0.6,3.21,2.6,2.21,0.97,3.23,2.2,1.28,1.68,4.18,2.64,2.13,2.16,2.31,2.08,2.23,0.35,,,,,,,,,,,,,,,2.37,3.06,5.73,0.9,4.82,2.82,2.17,0.88,4.53,3.4,1.43,3.61,0.5,1.21,,,,,
July,,,,,,,2.72,3.44,2.48,0.64,0.52,3.74,3.28,1.84,0.84,5.85,1.14,2.93,1.13,2.91,5.43,1.38,1.75,3.4,3.02,0,1.92,,,,,,,,,,,,,,,1.89,1.4,3.45,1.67,0.74,0.41,1.42,1.91,2.23,2.18,0.22,1.39,1.29,2.79,,,,,
August,,,,,,,2.87,1.82,3.6,1.62,2.16,0.9,1.21,2,1.38,1.6,2.73,1.58,4.33,5.16,1.23,5.38,1.86,0.84,0.65,0.83,0.81,,,,,,,,,,,,,,,2.26,3.9,3.4,2.39,3.16,0.77,2.03,3.41,2.11,2.09,0.8,5.56,1.34,1.72,,,,,
September,,,,,,,4.39,3.15,3.58,3.21,,4.04,1.36,2.96,3.49,1.78,3.97,1.31,0.89,3.42,4.74,1.87,2.58,3.27,1.85,4.48,1.76,,,,,,,,,,,,,,,1.54,1.23,1.98,1.37,2.22,1.22,0.66,1.81,2.96,0.37,1.36,2.95,1.94,1,,,,,
October,,,,,,,1.7,3.02,2.4,2.23,,1.43,3.81,2.34,4.23,6.31,1.7,1.58,3.43,0.83,5.11,1.9,5.92,1.77,1.03,3.14,2.47,,,,,,,,,,,,,,,2.22,1.85,8.65,1.68,1.82,5.06,5.77,1.83,5.15,4.78,2.87,3.05,4.72,2.12,,,,,
November,,,,,,,1.47,0.34,1.81,2.49,,0.35,2.99,2.35,3.2,3.93,4.43,4.71,4.38,0.82,2.24,3.07,3.23,3.03,1.66,3.47,3.95,,,,,,,,,,,,,,,0.52,2.73,1.65,1.64,3.2,3.93,2.67,0.88,0.79,3.61,3.91,2.12,2.63,2.95,,,,,
December,,,,,,,2.11,1.41,5.13,2.29,,1.3,4.81,0.67,1.79,1.14,5.66,1.49,1.38,1.27,2.84,2.83,2.11,0.68,2.71,1.38,4.35,,,,,,,,,,,,,,,4.15,1.71,2.57,2.36,0.84,2.36,4.15,2.92,3.36,4.47,6.61,4.04,1.55,7.94,,,,,
Total,,,,,,,32.2,26.21,30.89,24.64,,23.21,33.46,25.01,22.57,34.08,31.32,28.66,27.6,33.82,32.06,25.82,28.07,25.5,22.12,27.5,26.49,,,,,,,,,,,,,,,22.78,23.75,40.52,23.6,26.13,27.45,27.77,24.99,29.65,31.92,25.75,34.74,27.08,31.52,,,,,
