ST ALBANS (GORHAMBURY),,,,,,,,,,,,
Grid ref,TL114077,Long,-0.387416,Lat,51.756919,,,,,,,
Station no,926,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.38,1.90,1.20,1.17,2.65,2.55,0.71,,,2.51,,
February,4.73,0.65,1.81,2.04,2.32,0.50,2.06,,,2.70,,
March,3.15,2.81,0.44,2.56,1.01,0.63,0.74,,,1.85,,
April,2.26,2.01,2.99,0.23,0.35,0.71,0.24,,,0.68,,
May,1.92,1.14,1.75,2.66,4.43,0.13,0.43,,,1.87,,
June,1.58,1.20,1.94,4.62,1.84,1.86,1.13,,,2.05,,
July,1.30,0.54,3.78,2.93,0.65,4.80,1.67,,,3.12,,
August,4.11,5.35,2.06,3.81,0.90,3.93,1.84,,,3.28,,
September,3.40,3.28,1.89,1.46,1.07,1.59,2.36,,,3.22,,
October,1.06,2.79,3.33,2.31,2.93,1.19,1.65,,,6.60,,
November,5.91,3.59,1.95,5.66,1.61,0.43,0.70,,,4.54,,
December,2.07,2.85,0.61,1.94,1.80,2.82,1.24,,,3.26,,
Total,34.87,28.11,23.75,31.39,21.56,21.14,14.77,,,35.68,,
Calc annual,34.87,28.11,23.75,31.39,21.56,21.14,14.77,0.00,0.00,35.68,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,0.00,,
