COLINSBURGH MANSE,,,,,,,,,,,,
Grid ref,NO474034,Long,-2.849790,Lat,56.220246,,,,,,,
Station no,RR8265,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.05,5.62,2.25,0.46,2.38,0.95,2.66,2.02,,
February,,,1.04,4.95,4.61,0.98,0.78,1.15,0.68,1.20,,
March,,,1.32,2.95,1.78,2.53,1.96,2.13,3.63,5.23,,
April,,,1.05,0.94,1.71,1.78,0.86,1.56,1.45,3.60,,
May,,,1.65,1.27,2.56,1.45,5.90,3.98,1.63,2.43,,
June,,,1.38,2.08,1.21,0.50,1.41,3.78,1.17,1.41,,
July,,,3.30,5.33,1.72,1.91,1.05,2.36,2.81,4.37,,
August,,,2.19,3.52,4.59,2.46,5.01,3.42,2.85,2.29,,
September,,,1.38,2.37,1.92,1.77,0.75,1.05,4.41,1.38,,
October,,,-999.00,5.58,0.82,1.96,6.41,6.26,3.08,3.31,,
November,,,1.41,1.43,0.68,4.44,3.40,1.76,1.67,0.37,,
December,,,3.42,1.45,2.08,1.47,2.19,3.51,0.96,3.60,,
Total,,,20.70,37.49,25.93,21.71,32.10,31.91,27.00,31.21,,
Calc annual,0.00,0.00,19.19,37.49,25.93,21.71,32.10,31.91,27.00,31.21,,
Difference,NaN,NaN,1.51,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
