COLINSBURGH MANSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO474034,Long,-2.84979,Lat,56.220246,Elevation,130,ft,,,,,,,,,,,,
Station no,RR8265,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.05,5.62,2.25,0.46,2.38,0.95,2.66,2.02,2.66,1.04,2.28,3.46,1.78,1.95,,,,
February,,,1.04,4.95,4.61,0.98,0.78,1.15,0.68,1.2,2.39,1.39,2.12,0.73,2.02,3.44,,,,
March,,,1.32,2.95,1.78,2.53,1.96,2.13,3.63,5.23,0.87,1.33,2.53,3.73,3.51,1.64,,,,
April,,,1.05,0.94,1.71,1.78,0.86,1.56,1.45,3.6,2.91,0.92,0.08,1.89,0.84,0.81,,,,
May,,,1.65,1.27,2.56,1.45,5.9,3.98,1.63,2.43,1.5,0.58,1.51,1.92,2.21,0.89,,,,
June,,,1.38,2.08,1.21,0.5,1.41,3.78,1.17,1.41,1.21,1.77,3.49,1.57,0.61,2.09,,,,
July,,,3.3,5.33,1.72,1.91,1.05,2.36,2.81,4.37,3.79,1.46,1.73,0.92,1.66,,,,,
August,,,2.19,3.52,4.59,2.46,5.01,3.42,2.85,2.29,6.89,0.81,4.03,1.6,2.24,,,,,
September,,,1.38,2.37,1.92,1.77,0.75,1.05,4.41,1.38,1.25,1.15,3.17,1.82,0.47,,,,,
October,,,1.51,5.58,0.82,1.96,6.41,6.26,3.08,3.31,3.12,2.09,3.06,1.88,2.46,,,,,
November,,,1.41,1.43,0.68,4.44,3.4,1.76,1.67,0.37,2.75,4.63,1.36,1.89,3.32,,,,,
December,,,3.42,1.45,2.08,1.47,2.19,3.51,0.96,3.6,1.67,3.13,2.64,2.09,4.47,,,,,
Total,,,20.7,37.49,25.93,21.71,32.1,31.91,27,31.21,31.01,20.3,28,23.5,25.59,,,,,
,,,,,,,,,,,,,,,,,,,,
1902 Oct corrected,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8265,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
