HAMPTON-THE-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ140701,Long,-0.36196184,Lat,51.418462,Elevation,43,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,2.63,3.31,1.72,2.04,2.17,1.11,2.24,1.52,2.37,1.77,2.9,0.65,2.76,0.83,1.61,1.32,,,,,,,
February,,,,,,,,,0.7,1.58,0.29,0.2,1.74,2.65,0.45,3.07,2.01,3.56,1.47,0.46,0.51,1.44,0.17,2.74,,,,,,,
March,,,,,,,,,0.82,2.8,1.01,1.14,1.52,2.02,0.65,0.33,0.12,2.37,0.9,0,1.43,0.31,1.16,2.29,,,,,,,
April,,,,,,,,,2.75,2.34,2.38,0.73,2.36,1.54,3.5,1.63,2.57,1.45,1.3,0.81,1.44,3.48,2.23,0.44,,,,,,,
May,,,,,,,,,1.57,0.05,0.52,1.29,1.08,2.21,2.69,1.76,1.5,1.31,2.39,1.04,2.31,2.29,4.71,1.96,,,,,,,
June,,,,,,,,,0.7,1.23,2.05,0.26,0.98,0.24,2.51,0.03,3.43,2.4,2.05,1.03,1.13,1.46,0.9,1.32,,,,,,,
July,,,,,,,,,4.84,2.33,4.52,0.04,2.69,2.78,3.34,3.74,1.56,2.82,1.98,1.39,1.51,3.27,2.07,1.85,,,,,,,
August,,,,,,,,,0.9,2.2,1.58,0.89,2.06,1.38,2.3,2.36,0.88,3.08,2.15,2.05,2.29,4.2,0.78,0.39,,,,,,,
September,,,,,,,,,5.86,1.44,2.37,1.89,1.51,1.29,3.43,2.28,1.13,4.32,1.2,0.11,2.63,2.54,1.74,2.59,,,,,,,
October,,,,,,,,,1.02,0.54,2.29,0.63,0.81,5.22,3.24,2.62,1.93,1.07,2.68,2.51,0.79,0.58,5.08,1.33,,,,,,,
November,,,,,,,,,1.96,1.2,1.14,1.7,1.24,1.29,2.36,1.49,4.81,2.7,1.36,5.55,4.36,2.15,1.09,0.77,,,,,,,
December,,,,,,,,,1.69,3.25,1.97,1.02,3,1.95,2.62,2.43,0.21,2.94,2.23,4.12,1.69,0.35,0.34,0.41,,,,,,,
Total,,,,,,,,,25.44,22.27,21.84,11.83,21.16,23.68,29.33,23.26,22.52,29.79,22.61,19.72,22.85,22.9,21.88,17.41,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the Manor House. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
