"BIRMINGHAM WW (ELAN VILLAGE)",,,,,,,,,,,,
Grid ref,SN931649,Long,-3.568092,Lat,52.271827,,,,,,,
Station no,4219,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.22,8.41,1.99,5.03,4.57,8.51,5.11,6.50,7.81,8.28,,
February,5.95,2.82,2.43,5.20,3.40,1.04,6.63,9.09,0.49,7.92,,
March,6.39,2.49,4.76,4.70,4.92,4.12,4.79,1.59,4.83,2.94,,
April,5.20,3.00,4.35,1.33,3.31,2.32,0.16,1.42,6.02,5.39,,
May,3.83,3.88,2.70,3.75,6.47,0.76,3.01,4.29,2.30,2.34,,
June,1.02,3.57,1.67,6.25,6.62,2.77,2.23,3.92,3.08,2.78,,
July,1.93,2.09,4.99,4.35,0.80,4.28,5.59,4.91,4.69,5.21,,
August,4.93,5.21,4.19,5.64,1.47,7.18,8.03,3.92,0.64,4.34,,
September,4.51,4.29,6.07,6.27,3.17,5.90,11.37,8.68,0.19,4.51,,
October,1.32,6.70,3.72,8.25,4.46,3.46,4.65,5.59,7.40,7.52,,
November,12.39,4.51,5.10,11.89,5.25,3.62,3.96,3.34,6.83,11.03,,
December,7.99,6.03,1.99,6.43,6.08,7.06,5.02,5.09,12.03,8.53,,
Total,61.68,53.00,43.96,69.09,50.52,51.02,60.55,58.34,56.31,70.79,,
Calc annual,61.68,53.00,43.96,69.09,50.52,51.02,60.55,58.34,56.31,70.79,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
