MAM-NICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK123837,Long,-1.8166902,Lat,53.350048,Elevation,1368,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2689/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,3.8,,5.53,6.97,,5.64,4,11.02,2.41,2.88,6.55,6.12,3.27,6.12,2.83,,4.01,4.98,3.94,6.97
February,,,,,,,,,,3.4,,,4.23,3.21,5.72,8.23,3,3.06,2.49,7.31,3.24,,2.42,4.1,3.03,2.51,3.61,7.56,0.65,3.21
March,,,,,,,,,,3.88,5.64,3.24,1.51,2.13,,1.62,7.5,1.51,2.24,2.04,7.34,2.24,3.77,4.7,3.16,,4.98,3.53,2.76,2.48
April,,,,,,,,,,4.14,2.59,2.31,3,3.4,3.15,1.63,3.62,2.47,4.05,4.2,2.74,3.24,2.93,0.87,2.93,1.96,0.68,1.4,4.43,
May,,,,,,,,,,0.97,3.68,4.42,3.73,4.13,4.12,1.78,3.53,2.4,2.64,1.21,1.98,2.97,2.86,,,0.59,1.78,4.44,0.7,2.42
June,,,,,,,,,,1.14,2.82,1.22,3.47,4.28,3.68,4.76,2.66,6.4,1.43,2.83,1.94,3.87,3.65,3.69,,4.56,,,2.87,1.77
July,,,,,,,,,,4.12,3.92,6.7,1.72,4.72,2.61,4.94,2.74,,2.45,4.52,3.21,1.83,5.13,7.97,1.06,8.27,5.59,6.93,3.27,7.83
August,,,,,,,,,,3.54,6.85,3.89,5.43,3.16,3.62,5.85,0.5,5.05,3.41,4.13,5.26,1.76,5.34,6.88,1.01,,8.92,4.44,0.98,4.64
September,,,,,,,,,,3.82,0.82,3.1,5.46,5.94,2.14,5.93,2.47,3.03,2.41,8.1,2.97,6.21,3.45,5.65,2.49,4.52,8.68,5.45,,5.37
October,,,,,,,,,,4.72,6.33,,3.07,5.93,7.13,1.12,1.05,3.23,4.51,2.49,1.67,6.99,2.47,7.33,3.51,3.72,5.21,4.89,4.1,6.12
November,,,,,,,,,,8.72,4.48,,5.89,9.48,0.87,8.81,4.37,2.53,7,5.98,9.97,4.38,2.27,10.03,3.02,2.81,2.15,1.56,5.16,6.45
December,,,,,,,,,,5.63,4.21,5.31,3.65,3.77,4.63,4.6,8.29,5.15,9.43,3.45,9.31,,3.01,8.36,,6.29,6.38,4.86,7.81,5.53
Total,,,,,,,,,,,,,46.69,57.12,,54.91,43.73,,44.47,49.14,56.18,,40.57,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS scr_id 3279 MAM NICK Start 1940 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Mam Tor/Mam Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 and Jan to Mar 1947 corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
