PATELY BRIDGE CASTLE STEAD - old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE166646,Long,-1.747788,Lat,54.077061,Elevation,410,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,4,1.24,6.84,4.77,3.41,7.12,1.54,7.16,4.98,1.57,0.32,0.65,5.71,6.66,7.58,3.33,6.72,3,1.52,1.31,6.96,,,,,,,,,
February,1.33,5.72,4.31,2,1.87,1.85,5.25,3.57,2.03,4.51,3.88,5.72,2.91,3.54,3.31,3.92,0.9,1.73,2.24,2.53,1.33,,,,,,,,,
March,2.85,2.42,3.76,3.61,4.05,0.99,5.73,4.1,1.86,2.95,3.07,5.47,3.82,1.83,3.07,3.11,4.7,2.09,5.45,3.3,3.17,,,,,,,,,
April,1.14,4.8,4.92,0.6,1.7,1.59,2.73,4.25,3.12,3.04,2.54,1.9,5.63,3.38,2.53,2.65,3.33,1.31,3.32,4.56,1.73,,,,,,,,,
May,1.74,1.03,2.48,2.05,1.79,2.06,0.82,3.37,5.95,1.52,2.36,2.7,1.47,1.69,2.35,3.62,5.3,2.33,0.99,2.64,2.61,,,,,,,,,
June,1.49,4.29,5.93,1.51,0.72,3.27,2.71,1.84,3.6,5.16,3.88,2.53,4.16,3.85,0.67,2.87,1,0.16,2.47,0.3,3.04,,,,,,,,,
July,0.77,4.65,3.88,3.96,1.83,3.39,2.28,3.73,0.62,5.06,6.06,5.25,4.94,3.85,6.69,1.12,3.81,1.64,5.66,2.66,2.46,,,,,,,,,
August,1.73,1.8,3.86,3.55,5.23,2.2,2.82,6.01,7.67,5.02,1.93,5.69,2.52,2.56,1.37,1.83,2.82,2.82,3.24,5.29,5.17,,,,,,,,,
September,1.36,6.35,6.15,2.56,3.46,4.17,4.51,4.18,3.29,2.48,5.42,3.24,2.56,6.14,2.31,4.53,2.34,4.78,0.83,1.16,2.38,,,,,,,,,
October,9.82,3.77,5.31,3.92,4.26,5.56,2.99,5.81,3.92,1.44,8.16,5.2,4.95,5.56,2.37,6.19,5.54,3.79,0.89,6.62,1.51,,,,,,,,,
November,3.29,1.27,7.09,3.3,3.48,5.98,4.24,6.44,5.35,2.14,4.54,5.6,6.6,4.88,1.67,2.89,3.78,3.84,8.66,1.21,4.45,,,,,,,,,
December,4.34,2.44,6.7,1.39,5.29,2.43,9.85,3.91,2.36,2.75,5.21,5.5,6.26,2.49,6,1.44,5.74,2.75,2.68,1.87,1.43,,,,,,,,,
Total,33.86,39.78,61.23,33.22,37.09,40.61,45.47,54.37,44.75,37.64,47.37,49.45,51.53,46.43,39.92,37.5,45.98,30.24,37.95,33.45,36.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882 July mistransciption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_16_pt1-page-155.csv only 1890 forthis gauge; # Dec 1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
