HAMPTON-WICK-FAIRLIGHT,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ174694,Long,-0.31332064,Lat,51.411477,Elevation,30,ft.,,,,,,,,,,,,
Station no,RR3167,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,1.38,3.32,2.53,1.35,2.06,3.74,2.43,,,,,,
February,,,,,,,,1.63,1.02,2.7,,0.97,1.1,1.64,,,,,,
March,,,,,,,,2.15,1.11,1.38,1.85,1.15,1.79,1.63,,,,,,
April,,,,,,,,1.93,1.62,1.15,0.4,3.2,1.21,0.68,,,,,,
May,,,,,,,,1.53,1.6,3.3,0.6,0.97,3.86,1.38,,,,,,
June,,,,,,,,1.75,0.4,1.34,0.43,3.68,2.32,2.33,,,,,,
July,,,,,,,,3.67,1.63,0.86,0.94,3.98,1.36,1.6,,,,,,
August,,,,,,,,2.67,2.52,1.47,2.35,1.01,1.83,2.21,,,,,,
September,,,,,,,,2.36,1.94,3.87,1.74,4.54,1.23,2.01,,,,,,
October,,,,,,,,1.97,2.42,2.29,3.03,0.87,4.56,2.85,,,,,,
November,,,,,,,,0.22,1.17,2.24,1.29,0.4,2.95,2.1,,,,,,
December,,,,,,,,1.98,4.49,2.39,2.56,1.2,3.74,0.41,,,,,,
Total,,,,,,,,23.24,23.24,25.52,,24.03,29.69,21.27,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Fairlight 4 Church Grove. Altitude on 1860s record too high, 1870 record has 30?, which is a good match",,,,,,,,,,,,,,,,,,,,
