HAMPTON-WICK-THE-GROVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ176698,Long,-0.31031369,Lat,51.415031,Elevation,27,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,2.85,3.58,2.32,1.13,1.94,3.7,2.42,0.99,3.25,0.76,4.75,1.22,2.37,0.42,1.12,1.21,2,2.41,,,,,
February,,,,,,,3.98,1.53,0.53,2.46,1.37,0.86,0.78,1.51,1.18,0.9,1.93,2.03,1.16,3.37,1.96,1.71,1.64,2.94,1.26,,,,,
March,,,,,,,1.34,1.57,1.57,1.15,2.01,1.08,1.62,3.16,0.45,0.49,2.73,2.36,0.52,0.67,0.3,1.85,0.75,0.81,1.04,,,,,
April,,,,,,,1.8,1.91,1.44,1.12,0.11,3.01,0.98,0.62,1.53,1.48,1.87,3.11,2.76,2.98,1.96,0.48,2.52,1.32,1.32,,,,,
May,,,,,,,1.35,1.36,1.66,3.05,0.78,0.87,2.91,1.41,0.35,1.13,1.31,2.25,3.42,3.66,0.27,0.9,1.08,1.75,0.74,,,,,
June,,,,,,,3.73,1.79,0.37,1.35,0.47,3.45,2.25,1.51,2.35,2.12,1.5,2.6,1.94,4.23,2.9,1.37,1.78,1.61,1.55,,,,,
July,,,,,,,2.19,4.3,2.15,0.89,0.94,3.75,1.42,2.89,1.32,4.7,1.14,2.31,1.54,3.6,5.77,0.98,1.92,3.04,1.5,,,,,
August,,,,,,,2.35,2.66,2.39,1.42,2.66,0.79,1.25,1.77,1.34,0.38,2.44,3.15,4.82,4.97,0.62,4.77,1.08,0.83,0.87,,,,,
September,,,,,,,3.42,2.25,1.09,3.74,1.47,4.46,1.35,2.43,2.94,1.12,2.58,0.89,1.01,3.15,4.33,2.04,2.57,2.75,1.33,,,,,
October,,,,,,,1.51,1.87,2.35,1.59,3.06,0.83,4.46,3,3.92,3.78,1.55,1.81,1.69,0.61,5.3,2.17,6.01,1.47,1.32,,,,,
November,,,,,,,1.47,0.7,1.21,2.21,1.3,0.55,3.63,1.69,1.59,2.94,2.53,3.73,3.01,0.69,1.69,1.98,2.28,2.79,1.21,,,,,
December,,,,,,,1.98,1.38,4.87,2.46,2.51,1.16,3.69,0.98,1.98,0.98,5.08,1.56,1.63,0.55,3.01,2.21,1.94,0.34,2.24,,,,,
Total,,,,,,,,24.17,23.21,23.76,17.81,22.75,28.04,23.39,19.94,23.27,25.42,30.55,24.72,30.85,28.53,21.58,24.78,21.65,16.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is The Grove. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 1876 estimated for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
