ALDBOROUGH-ALDRINGHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM447612,Long,1.579034,Lat,52.194689,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.37,2.51,1.51,1.17,0.61,2.04,1.4,0.74,1.62,1.74,2.65,1.32,1.73,0.97,1.9,2.54,0.44,0.95,2.17,1.56,0.92,3.52,1.04,0.48,0.55,1.91,1.33,2.42,3.3,1.77,3.37,1.35,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.09,0.42,0.45,1.31,1.63,0.73,0.17,1.54,2.57,1.91,0.51,0.39,1.93,0.79,1.32,2.25,0.77,0.52,0.3,2.34,0.83,1.83,1.09,1.56,0.71,2.44,1.11,1.46,0.7,1.55,3.29,3.89,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.94,1.16,1.29,2.82,1.15,2.01,1.22,1.42,0.37,0.78,1.69,3.26,2.39,1.22,0.95,0.93,1.9,1.03,1.55,1.27,1.75,1.61,1.05,1.69,2.4,0.5,2.12,2.72,2.09,4.02,1.27,3.61,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.41,0.87,1.33,1.27,2.64,0.95,1.22,1.74,0.11,1.95,0.75,1.12,1.77,1.15,2.1,0.7,1.88,0.81,1.66,0.88,2.24,0.52,1.86,2.15,1.55,1.78,1.04,0.41,2.06,0.74,1.3,2.13,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.88,2.18,1.99,0.97,2.12,1.18,2.31,0.67,2.55,2.71,0.22,0.53,0.64,2.27,2.25,1.15,0.65,2.44,1.7,1.59,1.11,1.74,2.53,1.3,1.23,2.73,1.23,0.78,1.34,1.24,2.44,1.61,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.8,0.3,0.1,2.02,2.86,2.67,1.33,5.76,0.64,2.89,0.69,1.7,2.24,2.13,1.56,4.59,1.33,1.6,3.3,0.8,3.41,2.33,2.88,0.6,3.25,1.94,1.85,2.45,0.77,0.84,0.86,2.27,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.31,3.01,1.31,5.33,3.03,4.24,2.83,2.4,3.16,3.5,3.64,0.66,0.68,1.89,2.68,1.04,1.36,2.06,4.55,1.61,0.74,0.18,2.39,3.85,2.42,2.8,0.49,1.96,2.16,1.67,4.72,1.11,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.53,1.43,2.23,1.96,4.45,1.96,3.93,3.52,1.25,2.6,1.65,1.84,2.92,1.43,0.14,3.03,1.06,2.98,4,0.57,2.23,0.47,1.5,2.53,1.95,2.06,0.83,5.98,1.63,0.74,1.8,5.82,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,5,1.21,2.77,2.46,2,0.79,0.68,1.72,0.97,0.93,0.72,3.98,2.54,0.27,2.46,1.1,0.84,1.7,1.79,1.9,2.49,1.94,0.47,1.32,2.13,1.49,1.73,3.22,2.28,1.03,3.69,0.95,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.09,2.61,2.71,0.93,5.28,1.52,3.41,7.7,2.17,1.69,2.81,3.57,0.63,2.01,1.6,1.79,2.47,1.54,3.17,0.96,2.02,2.4,3.03,1.34,4.53,1.32,2.82,1.75,4.09,2.62,1.91,2.64,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
