"ALDEBURGH, ALDRINGHAM HOUSE",,,,,,,,,,,,
Grid ref,TM447612,Long,1.579034,Lat,52.194689,,,,,,,
Station no,RR1730,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.54,0.44,0.95,2.17,1.56,0.92,3.52,1.04,0.48,0.55,,
February,2.25,0.77,0.52,0.30,2.34,0.83,1.83,1.09,1.56,0.71,,
March,0.93,1.90,1.03,1.55,1.27,1.75,1.61,1.05,1.69,2.40,,
April,0.70,1.88,0.81,1.66,0.88,2.24,0.52,1.86,2.15,1.55,,
May,1.15,0.65,2.44,1.70,1.59,1.11,1.74,2.53,1.30,1.23,,
June,4.59,1.33,1.60,3.30,0.80,3.41,2.33,2.88,0.60,3.25,,
July,1.04,1.36,2.06,4.55,1.61,0.74,0.18,2.39,3.85,2.42,,
August,3.03,1.06,2.98,4.00,0.57,2.23,0.47,1.50,2.53,1.95,,
September,1.10,0.84,1.70,1.79,1.90,2.49,1.94,0.47,1.32,2.13,,
October,1.79,2.47,1.54,3.17,0.96,2.02,2.40,3.03,1.34,4.53,,
November,1.82,1.60,0.79,2.21,1.26,2.03,3.34,2.03,1.07,1.01,,
December,2.56,3.66,2.00,1.06,1.94,1.16,1.23,2.64,1.63,4.31,,
Total,23.50,17.96,18.42,27.46,16.68,20.93,21.11,22.51,19.52,26.04,,
Calc annual,23.50,17.96,18.42,27.46,16.68,20.93,21.11,22.51,19.52,26.04,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
