GLASGOW (VICTORIA PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS543673,Long,-4.330478,Lat,55.876758,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.95,2.55,5.64,1.98,3.81,3.25,5.31,6.31,4.26,3.86,4.87,4.48,5.04,5.1,8.7,1.22,4.51,3.14,5.51,3.62,4.33,1.42,4.07,3.17,5.65,4.13,2.76,1.06,5.42,4.17,4.07,3.69,5.4,4.11,6.12,4.06,2.79,5.05,4.79,1.02,5,2.85,2.62,5.57,3.76,1.39,3.37
February,,,,,3.32,4.14,4.43,1.09,5.48,0.73,5.72,1.17,3.14,4.26,0.82,3.06,4.16,2.61,3.68,1.88,0.21,3.11,0.02,2.94,0.45,3.6,1.68,4.29,1.43,4.59,1.34,3.18,1.76,4.31,1.63,5.78,2.81,1.55,4.03,3.97,4.42,2.63,1.4,1.39,3.88,2.22,1.11,2.8,2.63,1.35,3.43
March,,,,,5.23,1.38,1.92,2.1,1.59,3.42,3.84,6.11,1.83,1.76,0.83,1.18,2.5,2.81,3.71,0.83,2.57,1.17,1.98,1.98,2.32,1.76,2.08,1.16,2.38,2.75,3.99,3.65,2.42,1.78,0.98,2.84,2.26,3.19,3.17,1.34,2.6,2.73,2.42,0.85,2.23,1.74,1.84,3.88,0.98,1.61,2.02
April,,,,,2.5,2.6,3.22,1.3,0.48,1.54,1.73,0.62,2.23,3.66,2.3,4.49,2.61,2.34,1.36,0.93,1.21,1.55,3.28,1.77,2.54,2.67,1.11,1.81,0.41,1.85,2.42,1.66,2.28,2.85,2.53,2.25,1.53,5.45,3.02,3.65,3.02,1.97,2.05,1.77,1.59,1.54,0.95,2.03,1.11,2.89,3.31
May,,,,,1.16,1.86,3.93,2.95,2.13,0.59,4.51,1.9,3.27,1.94,3.93,5.78,3.08,2.79,2.01,2.48,1.32,4.34,3.1,2.39,2.17,0.51,1.59,1.76,3.36,1.05,1.31,3.11,2.63,3.69,2.54,4.75,0.98,4.05,1.41,1.97,1.33,1.91,2.25,2.42,3.6,3.16,1.65,2.43,3.29,1.04,2.79
June,,,,,0.51,2.07,2.74,2.76,1.13,4.22,2.81,0.55,1.66,1.1,1.72,0.43,2.36,4.52,5.2,3.04,2.94,4.95,0.89,1.77,1.98,3.84,1.76,2.22,4.46,2.09,0.74,0.84,1.24,2.82,2.83,4.01,3.29,2.81,4.66,1.06,1.78,2.55,2.46,2.73,2.7,2,2.59,2.2,2.98,2.79,2.37
July,,,,,2.56,4.03,3.51,2.85,3.45,0.8,3.14,3.88,2.28,3.62,3.23,1.82,2.76,3.69,1.84,2.67,4.01,3.84,3.19,3.7,2.52,1.6,5.4,3.36,3.34,4.89,4.27,2.86,2.09,2.44,3.08,3.89,3.67,3.21,2.65,,6.6,3.64,2.62,4.16,2.65,1.22,4.65,3.43,4.72,4.35,3.63
August,,,,,3.87,1.76,3.88,3.58,3.55,2.44,4.66,5.81,3.13,5.42,4.15,2.95,2.92,6.42,2.85,5.74,5.29,2.14,1.49,2.5,4.2,1.86,2.64,3.24,2.93,1.63,2.26,3.95,4.19,6.39,3.16,1.61,2.84,0.02,6.54,,5.16,4.28,3.02,3.43,5.55,0.96,4.41,3.73,5.04,0.47,3.89
September,,,,,1.91,1.38,0.89,1.96,6.01,2.4,2.53,1.32,1.98,6.45,4.38,3.06,2.91,5.92,2.75,1.38,4.13,1.13,3.75,0.66,4.1,5.01,3.52,2.21,2.47,1.93,3.38,1.36,5,,4.65,4.24,5.93,4.3,6.12,,8.15,3.1,2.71,3.48,4.71,3.4,5.42,2.54,3.35,1.05,2.51
October,,,,,1.47,2.59,7.23,5.97,5.25,0.92,1.54,4.7,2.05,5,2.93,3.34,5.79,5.11,5.95,5.8,5.85,2.84,5.85,2.21,5.1,8.22,3.79,3.4,7.08,2.48,4.92,3.51,4.43,,4.36,5.44,0.61,2.02,4.4,,3.14,0.96,4.19,2.24,9.13,2.52,2.82,3.87,3.43,4.38,3.37
