"LAMMERMUIR HILLS (WEST HOPES)",,,,,,,,,,,,
Grid ref,NT536627,Long,-2.742763,Lat,55.855250,,,,,,,
Station no,5099,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.89,2.05,0.99,2.43,2.41,2.59,3.16,2.25,1.21,4.50,,
February,4.40,0.72,1.17,3.03,2.73,3.95,3.41,3.45,0.43,3.66,,
March,4.22,1.59,0.47,2.62,1.95,1.61,2.41,2.25,0.94,1.98,,
April,2.91,1.59,3.34,0.85,1.05,0.82,1.10,2.44,1.96,1.39,,
May,3.11,1.66,2.00,7.04,2.10,0.68,1.80,2.59,0.40,1.43,,
June,1.84,2.26,2.69,2.45,0.96,2.92,1.57,3.73,1.70,0.96,,
July,3.13,1.76,5.47,2.18,1.83,4.23,3.80,4.63,1.73,2.98,,
August,5.68,2.99,1.74,6.27,1.21,9.45,8.66,2.75,0.97,3.34,,
September,1.00,3.34,2.67,3.65,1.67,2.93,2.08,2.62,0.41,1.94,,
October,0.43,3.11,1.22,5.07,2.48,1.51,1.83,1.79,1.50,7.02,,
November,3.61,3.83,2.07,4.21,1.63,1.21,2.10,0.92,6.65,4.02,,
December,1.18,4.80,1.53,3.13,5.19,3.97,3.23,6.07,6.11,2.74,,
Total,35.40,29.70,25.36,42.93,25.21,35.87,35.15,35.49,24.01,35.96,,
Calc annual,35.40,29.70,25.36,42.93,25.21,35.87,35.15,35.49,24.01,35.96,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
