"BARNINGHAM PARK",,,,,,,,,,,,
Grid ref,NZ092099,Long,-1.859509,Lat,54.484365,,,,,,,
Station no,3483,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.31,3.91,0.51,3.71,2.22,3.61,4.39,3.04,3.89,5.04,,
February,4.49,0.44,1.92,2.82,2.05,2.53,4.00,4.87,0.22,3.86,,
March,4.75,2.00,0.23,1.96,2.15,1.55,2.05,3.07,1.66,2.95,,
April,2.98,1.79,3.34,0.66,0.32,1.09,0.21,1.56,3.32,2.47,,
May,4.72,2.13,2.85,4.74,2.55,0.60,1.79,4.91,0.81,2.26,,
June,1.17,0.75,2.91,2.86,3.07,3.75,1.02,4.52,2.31,0.95,,
July,1.48,0.78,3.23,1.70,1.09,5.36,4.95,2.89,2.12,5.37,,
August,5.55,3.24,4.59,6.80,1.11,9.86,7.43,5.83,0.97,3.20,,
September,2.09,4.00,2.64,3.75,0.91,5.02,4.90,3.97,0.86,3.62,,
October,3.04,4.43,2.89,6.29,2.65,2.12,3.09,2.68,2.66,10.06,,
November,6.75,2.39,2.76,7.57,2.60,0.89,2.08,0.96,6.84,6.74,,
December,6.15,3.14,1.69,3.35,5.61,5.43,3.27,6.00,7.59,3.55,,
Total,46.48,29.00,29.56,46.21,26.33,41.81,39.18,44.30,33.25,50.07,,
Calc annual,46.48,29.00,29.56,46.21,26.33,41.81,39.18,44.30,33.25,50.07,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
