NORWICH-BRUNDALL (Braydeston Hall),,,,,,,,,,,
Grid ref,TG341088,Long,1.45847,Lat,52.62702,Elevation,50,ft,,,
Station no,RR4119,,,,,,,,,,
,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900
January,2.77,2.27,1.37,2.34,,,,,,,
February,0.81,0.07,2.01,2.24,,,,,,,
March,2.69,1.79,1.34,0.54,,,,,,,
April,0.95,1.25,2.24,,,,,,,,
May,1.5,3.6,1.52,,,,,,,,
June,2.81,0.78,3.92,,,,,,,,
July,4.12,4.71,2.94,,,,,,,,
August,2.68,3.9,3.34,,,,,,,,
September,0.92,1.25,2.12,,,,,,,,
October,2.05,3.6,7.62,,,,,,,,
November,3.9,2.15,1.41,,,,,,,,
December,0.76,2.98,1.22,,,,,,,,
Total,25.96,28.35,31.05,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1893 April Gauge moved approx 1 mile SW,,,,,,,,,,,
