"NORWICH BRUNDALL",,,,,,,,,,,,
Grid ref,TG322084,Long,1.429223,Lat,52.623669,,,,,,,
Station no,RR4119,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.74,0.74,1.18,1.68,1.51,0.93,3.94,1.72,0.98,0.64,,
February,2.92,2.16,0.77,0.34,3.17,1.43,2.58,1.77,2.00,0.60,,
March,1.09,1.98,1.07,1.73,1.93,1.82,2.16,1.39,2.56,2.65,,
April,1.30,2.26,1.31,2.52,0.86,2.06,0.70,3.21,2.66,1.42,,
May,1.87,0.86,4.39,1.58,1.80,1.41,4.40,2.57,2.02,1.30,,
June,2.70,1.55,2.34,2.45,0.68,3.13,2.00,2.91,0.83,2.75,,
July,1.72,1.19,2.11,5.37,1.85,0.65,0.53,1.30,3.29,2.85,,
August,4.35,0.87,3.37,2.72,2.17,2.27,1.25,1.13,2.66,1.80,,
September,0.89,0.86,1.38,3.69,1.78,2.02,1.25,0.43,1.97,1.49,,
October,2.26,2.07,1.34,4.21,1.20,4.14,3.17,3.90,1.63,3.62,,
November,2.17,2.38,1.42,1.87,2.00,1.95,4.25,2.48,1.66,1.34,,
December,2.98,4.14,1.62,1.28,2.55,1.15,3.73,2.60,1.28,4.67,,
Total,26.99,21.06,22.30,29.44,21.50,22.96,29.96,25.41,23.54,25.13,,
Calc annual,26.99,21.06,22.30,29.44,21.50,22.96,29.96,25.41,23.54,25.13,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
