LECHLADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU212996,Long,-1.6946,Lat,51.695,Elevation,253,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,0.55,0.97,1.49,3.17,3.16,2.03,4.2,1.89,0.77,0.57,2.64,1.9,0.64,1.99,1.86,2.59,0.45,1.83,0.41,3.19,2.18,0.82,0.73,2.73,3.01,0.71,3.56,,,
February,,,,,,,,,,,2.78,3.49,1.89,3.79,1.42,3.04,0.77,0.67,1.12,1.48,0.58,0.03,0.98,2.22,2.14,0.09,0.29,2.77,1.52,2.44,4.39,0.91,0.98,1.01,3.18,0.54,1.64,,,
March,,,,,,,,,,,1.67,1.45,1.67,1.15,1.78,1.08,2.01,1.67,3.26,2.24,0.81,1.24,0.56,0.34,2.08,1.98,2.46,2.99,0.41,0.46,0.88,2.05,1.42,3.02,1.22,3.11,1.42,,,
April,,,,,,,,,,2.7,1.8,0.71,3.52,0.88,1.59,1.8,2.56,1.17,1.75,2.64,1.25,0.76,0.84,0.02,2.1,2,0.38,1.52,1.21,1.86,0.91,2.19,1.47,2.07,1.11,2.15,0.62,,,
May,,,,,,,,,,3.04,0.83,1.56,1.68,1.61,1.04,2.24,4.31,1.36,1.5,3.05,2.5,2.53,0.95,1.7,1.62,0.29,0.15,0.8,3.93,1.34,1.04,1.62,1.71,3.75,3.17,0.26,1.73,,,
June,,,,,,,,,,4.74,2.85,1.98,3.8,3.35,3.77,2,1.82,1.78,3.08,0.6,2.96,1.4,2.09,0.85,2.34,0.52,1.41,2.27,1.09,1.44,1.91,1.75,2.44,5.81,0.85,4.9,2.73,,,
July,,,,,,,,,,3.24,5.37,2.08,4.07,3.1,2.55,0.21,2.83,0.93,4.13,3.39,4.42,2.69,3.11,3.35,3.19,2.39,1.83,0.49,1.01,1.79,1.26,2.6,0.8,3.19,3.02,0.35,1.11,,,
August,,,,,,,,,,6.39,1.41,5.74,2.54,1.01,1.21,2.48,1.69,1.33,2.2,2.09,2.36,5.69,2.56,1.44,2.05,2.39,2.1,4.48,1.82,1.6,2.56,2.14,3.22,2.92,2.2,4.2,0.86,,,
September,,,,,,,,,,2.7,3.68,1.87,3.43,3.16,1.01,3.97,2.06,2.51,0.89,1.73,1.27,1.43,2.45,0.77,2.24,0.92,5.67,1.85,0.83,2.04,0.36,1.25,1.79,2.77,1.52,1.19,,,,
October,,,,,,,,,,1.04,4.75,1.57,6.21,2.02,0.84,2.9,3.62,1.97,0.81,2.59,1.28,6.39,2.82,3.6,4.41,3.26,3.35,1.39,3.21,2.29,2.43,1.09,1.54,5.41,0.7,1.22,,,,
November,,,,,,,,,,0.66,2.28,3.93,4,3.04,1.43,5.21,2.42,2.63,4.66,1.16,1.87,1.92,1.92,1.82,4.73,4.52,0.61,1.23,2.3,2.21,1.81,1.47,1.83,1.5,1.56,2.6,,,,
December,,,,,,,,,,0.77,3.59,2.95,3.14,0.6,2.78,1.14,4.05,1.56,2.27,1.42,0.75,2.95,0.76,1.66,2.04,2.12,2.57,3.09,2.25,2.19,3.7,3.21,1.87,0.95,1.83,0.89,,,,
Total,,,,,,,,,,,31.56,28.3,37.44,26.88,22.58,28.1,32.34,19.47,26.44,22.96,22.69,28.93,19.68,19.76,30.8,23.07,21.27,24.71,19.99,22.85,23.43,21.1,19.8,35.13,23.37,22.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 1887 fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
