SANDWICK S.O. SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,HY 26383 16956,Long,-3.284346,Lat,59.033265,Elevation,51,ft,,,,,,,,,,,,,
Station no,5827,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,4.29,5.02,3.33,,,,,,,
February,,,,,,,,,,,,4.78,0.66,3.93,,,,,,,
March,,,,,,,,,,,,1.98,3.01,2.36,,,,,,,
April,,,,,,,,,,,1.5,3.74,3.23,2.74,,,,,,,
May,,,,,,,,,,,2.25,4.03,1.94,0.76,,,,,,,
June,,,,,,,,,,,1.41,2.67,0.65,1.01,,,,,,,
July,,,,,,,,,,,1.76,2.74,3.02,1.46,,,,,,,
August,,,,,,,,,,,4.77,0.62,3.28,3.59,,,,,,,
September,,,,,,,,,,,3.54,1.02,4.72,1.17,,,,,,,
October,,,,,,,,,,,5.05,4.06,4.23,3.41,,,,,,,
November,,,,,,,,,,,4.95,3.22,4.21,2.83,,,,,,,
December,,,,,,,,,,,3.81,5.09,2.75,,,,,,,,
Total,,,,,,,,,,,,38.24,36.72,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 JFM Estd by nrby stns,,,,,,,,,,,,,,,,,,,,,
1933 Dec Estd by nrby stns,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5827,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
