ARRAN BRODICK,,,,,,,,,,
Grid ref,NS 004 369,Long,-5.167857,Lat,55.585177,Elevation,32,ft,,
Station no,RR2158,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,13.06,12.28,,,,,,
February,,,7.41,1.74,,,,,,
March,,,6.19,4.11,,,,,,
April,,,1.75,1.3,,,,,,
May,,,4.29,2.96,,,,,,
June,,,8.62,3.56,,,,,,
July,,,4.12,6.84,,,,,,
August,,,4.61,8.34,,,,,,
September,,,9.92,7.06,,,,,,
October,,,6.81,-999,,,,,,
November,,,11.82,-999,,,,,,
December,,,11.63,-999,,,,,,
Total,,,90.23,69.32,,,,,,
,,,,,,,,,,
Approximate Location,,,,,,,,,,
1873 10-12 Figure Bracketed,,,,,,,,,,
