"ARRAN, BRODICK U. F. MANSE",,,,,,,,,,,,,,,,,,,,
Grid ref,NS014359,Long,-5.151988,Lat,55.576161,Elevation,30,ft,,,,,,,,,,,,
Station no,RR2158,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,4.74,7.74,8.49,6.56,5.88,7.76,,,,,,,
February,,,,,,,,4.64,6.33,4.5,9.63,9.74,6.18,,,,,,,
March,,,,,,,,7.12,7.17,3.12,3.32,2.33,8.68,,,,,,,
April,,,,,,,,2.38,4.52,5.27,4.87,5.44,2.87,,,,,,,
May,,,,,,,,6.5,3.15,2.71,4.39,5.63,1.94,,,,,,,
June,,,,,,,,6.97,3.66,4.42,1.86,4.07,6.79,,,,,,,
July,,,,,,,,2.49,5.15,5.67,4.18,4.36,,,,,,,,
August,,,,,,,,8,4.36,4.79,9.96,5.31,,,,,,,,
September,,,,,,,,2.3,8.49,3.75,2.14,3.53,,,,,,,,
October,,,,,,,,6.14,2.95,10.1,3.7,6.39,,,,,,,,
November,,,,,,,,7.12,6.95,4.39,7.44,8.33,,,,,,,,
December,,,,,,,,10.08,7.75,7.23,9.34,11.41,,,,,,,,
Total,,,,,,,,68.48,68.22,64.44,67.39,72.42,,,,,,,,
