BURY (GREENHILL ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD785105,Long,-2.3262813,Lat,53.590634,Elevation,399,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2852/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.38,4.87,3.46,5.39,5.07,2.15,1.21,5.92,6.45,6.54,4.48,5.37,3.4,10.09,2.6,3.04,5,5.4,1.96,4.47,3.03,6.51,4.16,4.04,,
February,,,,,5.75,2.21,6.54,1.74,5.16,2.21,4.25,1.96,2.92,2.6,6.01,6.5,0.79,3.33,3.35,5.44,2.9,1.89,1.6,3.84,2.9,1.07,2.74,7.65,,
March,,,,,1.65,2.75,1.74,1.19,1.96,2.79,3.59,4.41,1.4,0.73,1.41,1.13,6.56,1.79,2.3,2.55,5.28,3,2.38,3.23,2.35,1.71,4.14,2.89,,
April,,,,,3.7,0.87,2.49,0.64,2.4,2.46,1.47,2.2,2.53,3.34,2.57,1.71,3.38,2.27,3.79,3.38,2.42,3.56,3.41,0.98,2.99,3.18,0.71,1.45,,
May,,,,,1.17,0.97,2.13,4.06,1.81,1.17,2.66,3.86,3.18,2.98,5.17,1.18,2.3,2.02,4.32,1.91,2.14,2.48,2.23,3.1,4.09,1.98,1.92,3.44,,
June,,,,,3.84,3.82,1.74,4.75,3.41,0.99,0.39,0.79,3.92,2.81,5.11,3.15,2.6,6.19,0.81,2.76,1.03,3.93,2.93,4.54,3.68,1.93,2.1,,,
July,,,,,1.82,4.04,2.32,3.91,6.77,4.78,2.04,5.76,2.63,4.04,2.87,4.93,2.73,2.38,1.85,5.07,3.27,2.73,6.29,7.03,1.09,6.65,6.12,,,
August,,,,3.88,1.66,2.86,2.75,3.47,2.31,1.76,7.72,5.33,6.11,3.65,4.12,6.2,0.62,4.86,3.87,7.76,4.26,5.26,5.36,6.01,1.34,11.05,6.53,,,
September,,,,3.66,7.54,5.24,1.78,2.11,1.05,4.34,0.89,2.86,5.12,6.13,3.4,8.42,3.33,3.1,1.52,8.04,3.33,3.74,4.96,6.02,3.07,4.27,7.89,,,
October,,,,5.66,9.57,5.35,2.03,10.01,2.29,4.23,5.08,7.48,3.54,5.47,7.19,0.93,0.86,2.99,5.17,3.08,1.47,4.54,2.04,8.61,3.16,3.31,6.25,,,
November,,,,1.89,4.91,6.68,2.1,5.12,6.94,7.08,2.78,1.32,3.97,7.93,0.61,7.14,6.38,2.65,6.27,5.89,8.7,2.57,5.08,6.81,2.11,2.07,2.09,,,
December,,,,6.4,4.03,3.71,2.88,5.48,3.9,5.06,2.48,4.53,2.71,4.84,3.12,4.37,3.74,4.52,7.49,4.37,9.18,4.87,1.86,6.98,6.7,4.44,5.41,,,
Total,,,,,48.02,43.37,31.96,47.87,43.07,39.02,34.56,46.42,44.48,51.06,46.06,51.03,36.69,46.19,43.34,53.29,48.98,43.97,40.1,61.62,36.51,48.17,50.06,,,
