PETERSFIELD-CASTLE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU745232,Long,-0.93934,Lat,51.00383,Elevation,216,ft,,,,,,,,,,,,
Station no,RR7962,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,9.08,1.81,4.46,0.47,,2.25,3.72,4.55,3.26,,,,
February,,,,,,,,1.98,2.98,5.18,4.48,,2.47,6.31,2.76,4.75,,,,
March,,,,,,,,3.22,1.51,0.75,1.45,,0.94,1.21,3.82,2.5,,,,
April,,,,,,,3.1,3.22,2.08,3.68,2.56,,4.37,1.56,1.44,1.82,,,,
May,,,,,,,0.6,3.08,4.85,3,0.18,,1.72,1.85,1.03,4.25,,,,
June,,,,,,,1.82,0.7,1.62,6.71,2.46,,4.22,2.62,1.22,3.05,,,,
July,,,,,,,0.86,4.54,1.24,4.85,5.05,,3.69,3.18,3.64,0.43,,,,
August,,,,,,,4.35,4.63,3.45,6.83,1.68,,2.08,1.24,1.3,0.65,,,,
September,,,,,,,4.64,1.5,1.74,4.8,6.47,,2.81,4.61,2.49,6.57,,,,
October,,,,,,,2.09,3.37,3.36,0.97,4.62,,8.39,3.37,0.93,4.57,,,,
November,,,,,,,5.06,7.91,3.96,1.05,3.9,,4.16,5.49,1.24,3.07,,,,
December,,,,,,,8.83,2.68,2.46,1.2,4.32,,3.35,1.17,4.58,1.92,,,,
Total,,,,,,,,45.91,31.06,43.48,37.64,,40.45,36.33,29,36.84,,,,
,,,,,,,,,,,,,,,,,,,,
NGR assumes gauge was near greenhouses,,,,,,,,,,,,,,,,,,,,
Matches elevation and distance to church,,,,,,,,,,,,,,,,,,,,
