NEWARK-SHELTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK780447,Long,-0.83935893,Lat,52.99396,Elevation,80,ft,,,,,,,,,,,,
Station no,RR7214,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,1.64,0.78,1.3,2.27,1.5,0.9,1.62,1.17,,,,,
February,,,,,,,,0.44,1.31,1.55,0.84,0.11,1.45,2.17,1.66,,,,,
March,,,,,,,,1.26,2.37,3.12,1.36,1.02,0.7,0.2,0.45,,,,,
April,,,,,,,,1.02,2.68,2.45,0.62,2.18,0.75,0.31,1.59,,,,,
May,,,,,,,,1.81,0.49,4.31,2.29,2.88,2.58,1.42,1.91,,,,,
June,,,,,,,,0.34,1.47,0.41,2.04,2.85,3.07,0.93,2.03,,,,,
July,,,,,,,,1.09,3.77,1.8,2.02,2.38,2.11,3.72,2.18,,,,,
August,,,,,,,,1.81,2.45,3.36,1.84,3,1.49,1.03,2.38,,,,,
September,,,,,,,,2.46,1.35,2.11,1.18,0.74,2.86,0.98,0.55,,,,,
October,,,,,,,,1.68,0.48,2.88,0.77,4.18,4.55,1.21,2.13,,,,,
November,,,,,,,,1.47,2.71,0.57,2.52,2.17,0.83,1.34,1.97,,,,,
December,,,,,,,,1.14,1.29,1.45,0.7,2.45,0.51,1.82,1.74,,,,,
Total,,,,,,,,16.16,21.15,25.31,18.45,25.46,21.8,16.75,19.76,,,,,
