ROCHDALE NADEN DEAN - OLD GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD856168,Long,-2.219314,Lat,53.647504,Elevation,948,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.6,8.55,4.27,5.62,5.16,3.93,4.14,0.52,3.55,3.05,2.03,2.72,3.53,0.2,3.44,4.85,3.9,3.06,5.79,3.16,2.74,2.56,2.39,1.5,5.95,4.77,5.04,5.36,2.45,6.54,4.23,1.14,0.79,0.5,3.02,4.72,5.57,2.31,5.08,1.71,1.81,1.95,4.52,2.39,3.42,1.26,3.43,2.82,1.93,1.55,3.42,5.38,6.02,2.59,2.76,3.73,3.54,1.91,5.06,1.76,3.55,,4.51,1.42,4.04,3.94,3.14,7.79,2.83,2.34,3.3,4.21,4.05,6.31,3.6,2.44,3.57,3.14,4.81,4.16,11.58,2.41,5.73,4.64,5.34,2.25,3.29,1.56,4.43,3.34,4.78,5.34,2.75,1.08,5.19,6.2,5.65,3.05,4.76,2.94,9.4,2.2,3.14,4.09,3.84,1.93,4.44,2.65,,,,,,,
February,,,,,,,,,9.4,2.62,4.59,5.38,4.89,1.5,2.66,0.7,4.24,2.18,0.03,2.76,1.4,4.55,0.8,2.16,3.5,2.23,5.34,3.8,2.72,4.71,1.9,2.95,6.3,0.66,2.18,1,5.21,4.42,1.91,3.16,2.61,5.82,2.91,2.36,2.92,3.46,0.74,0.82,0.52,2.13,0.41,0.24,2.11,4.8,5.13,0.31,2.1,2.61,2.38,1.56,4,1.54,1.82,3.37,3.52,2.01,3.05,1.84,2.78,,3.93,4.51,2.04,1.37,2.09,5.9,3.91,1.3,6.01,1.08,3.62,0.38,4.73,4.2,0.89,6.41,4.38,2.1,4.43,1.22,0.46,4.44,0.19,3.4,0.46,4.91,2.12,5.13,1.67,5.24,2.64,4.03,1.7,2.92,2.06,5.89,5.46,0.32,3.01,2.93,5.2,2.64,1.15,1.55,3.73,2.04,,,,,,,
March,,,,,,,,,4.8,0.9,1.07,5.03,0.39,1.1,1.6,2.71,0.38,2.6,1.55,3.79,4.42,5.15,4.57,1.2,3,0.77,1.96,1.48,3.5,1.11,2.55,0.47,4.05,3.03,4.68,0.87,4.43,3.03,1.65,2.03,3.38,4.78,2.94,0.54,2.42,2.55,2.81,2.13,2.02,2.35,3.6,1.18,0.97,0.79,3.46,3.35,5,3.46,1.56,2.3,0.42,2.94,2.48,4.55,2.74,3.73,2.68,3.34,2.91,,0.82,1.83,5.14,3.78,4.87,1.7,2.04,1.99,2.26,4.58,3.32,3,3.25,1.93,1.85,1.38,1.55,4.68,3.38,1.53,2.75,0.36,2.61,3.17,2.27,1.5,2.64,1.44,0.94,2.39,3.13,4.26,3.02,0.94,0.48,1.24,1.05,5.83,1.45,1.76,2.74,4.8,3.07,2.09,3.05,2.01,,,,,,,
April,,,,,,,,,2.35,2.16,4.36,1.48,0.32,2.72,0.93,1.2,3.18,2.5,2.72,3.25,1.68,0.28,3.4,1.36,1.46,1.62,1.48,5.35,1.73,2.54,1.91,4.24,2.39,0.28,1.84,1.25,2.73,2.61,1.9,2.2,1.99,1.82,4.49,1.96,1.29,1.44,2.53,1.38,1.98,2.28,1.07,2.12,1.17,0.62,1.81,2.25,1.54,2.39,2.23,3.53,2.29,2.71,2.37,1.98,2.56,3.34,1.57,2.07,2.52,,2.58,2.47,0.8,4.2,1.46,2.18,2.5,1.17,0.86,2.21,5.51,1.51,2.84,3.3,0.98,2.18,1.69,3.01,0.99,1.18,2.67,3.29,3.46,2,2.37,3.33,0.95,3.27,0.44,1.77,2.38,2.18,2.06,2.03,3.37,2.22,1.16,2.81,1.8,4.04,3.32,2.09,3.87,3.41,0.84,2.62,,,,,,,
May,,,,,,,,,1.45,2.75,2.73,1.65,2.17,0.73,2.48,1.45,3.85,2.4,2.39,0.6,4.85,1.13,5.7,1.64,1.38,1.76,1.74,2.32,1.11,3.63,1.4,1.88,2.32,2.27,2.04,2.32,0.74,3.9,4.94,1.68,2.69,4.11,1.4,0.93,1.49,2.18,5.45,2.07,0.71,1.77,2.83,2.73,4.14,2.13,3.34,0.88,0.36,1.39,2.81,2.98,1.41,1.26,3.26,4.17,2.86,0.51,3.52,3.66,3.26,,2.6,2.14,2.93,3.26,2.71,2.02,2.61,2.74,2.77,1.79,5.63,2.85,1.61,3.16,4.97,4.97,4.57,2.27,1.43,3.16,1.76,2.96,5.06,1.72,3.05,0.97,1.14,2.22,3.55,1.6,0.93,2.36,3.72,2.9,3.31,4.52,1.31,1.8,1.74,3.71,1.8,1.75,2.25,2.21,3.2,3.94,,,,,,,
June,,,,,,,,,7.9,3.27,2.98,2.97,5.71,5.06,2.78,4.55,3.67,3.04,2.54,2,5.41,3.05,4.62,5,2.74,0.17,7.83,2.2,0.04,1.26,2.08,2.25,7.1,2.2,1.01,5.12,3.96,1.97,3.57,7.28,3.73,2.26,6.18,5.2,0.73,5.42,1.79,0.73,2.31,0.91,3.26,2.04,3.26,2.91,3.1,2.35,2.76,3.85,2.53,1.59,4.54,1.95,1.29,2.08,1.21,3.26,1.4,7.08,2.23,,3.52,3.6,6.2,2.02,2.52,1.18,2.62,1.93,1.38,1.26,2.96,0.23,2.39,0.74,1.92,0.05,2.62,4.22,7.49,1.24,1.8,6.21,0.84,1.59,2.88,3.64,4.12,2.38,4.54,3.85,0.78,0.44,0.75,3.92,2.86,4.94,3.88,2.74,4.9,0.45,2.77,1.79,4.01,3.37,3.97,3.92,,,,,,,
July,,,,,,,,,5.15,5,4.2,5.49,3.31,5.43,2.83,4.29,2.89,4,2.82,2.05,2.73,4.5,5.77,1.16,3.71,2.95,4.59,5.82,0.15,1.5,0.69,5.27,3.55,4.59,2.44,5.98,4.32,6.43,0.77,5.98,7.13,4.53,6.17,2.68,5.06,1.91,4.16,1.77,6.64,4.59,2.94,3.64,3.41,4.06,3.43,6.02,2.27,1.47,0.68,1.55,2.56,2.27,2.88,4.59,1.98,2.71,1.77,3.37,5.43,,4.79,0.36,4.56,1.01,4.95,5.95,2.5,2.5,3.54,1.94,9.11,1.77,5.46,2.82,3.91,1.8,2.09,4.19,1.96,3.25,6.65,4.51,4.49,2.63,2.1,1.78,5.12,2.39,4.67,6.75,4.32,3.35,4.49,3.23,4.39,2.98,4.6,3.58,2.28,2.48,5.82,3.32,2.55,7.8,6.11,1.93,,,,,,,
August,,,,,,,,,7.6,4.47,6.94,4.01,5.35,5.62,2.98,3.99,6.39,6.26,3.64,7.4,6.55,3.4,3.05,5.77,2.28,5.85,8.36,2.8,3.62,1.87,2.52,1.28,4.92,6.12,6.09,2.5,4.52,6.13,6.77,6.14,2.39,6.19,3.09,2.45,3.27,1.82,2.4,1.67,4.58,6.25,5.12,8.54,5.5,3.12,4.29,5.19,2.66,4.89,5.77,1.38,5.26,2.56,3.88,6.12,5.39,4.44,3.95,4.56,4.06,,6.78,2.36,7.61,2.04,3.5,6.17,3.78,6.71,3.11,3.63,2.99,6.47,4.81,5.38,7.01,4.41,4.78,7.27,6.44,6.42,7.9,5.33,1.33,1.6,3.67,2.09,3.3,2.57,4.37,3.44,1.67,7.08,5.26,7.78,3.63,4.41,7.1,0.31,5.45,3.87,7.29,5.27,5.19,6.34,6.91,1.03,,,,,,,
September,,,,,,,,,4.15,5.52,2.96,2.16,2.95,3.34,3.03,1.25,5.71,3.25,5.05,5.88,3.4,6.31,4.43,8.04,2.12,0.54,10.44,3.93,2.12,7.81,3.35,4.68,7.1,3.42,5.43,6.29,5.17,4.14,5.07,3.25,4.86,2.11,2.34,6.63,2.76,6.7,4.28,6.1,1.24,2.95,2,3.67,4.31,4.2,0.49,2.11,7.36,4.1,1.19,6.5,1.46,2,2.05,5.19,1.63,2.17,1.28,1.34,3.83,,0.31,4.48,1.56,1.84,3.84,0.75,2.34,1.98,11.46,1.78,1.68,1.56,4.05,4.84,4.04,3.76,3.85,5.92,0.53,1.95,4.89,3.3,5.34,1.86,3.74,7.98,5.86,1.96,1.8,1.7,4.31,0.74,2.47,5.42,5.68,2.91,7.85,2.91,3.15,1.81,7.65,3.52,3.33,4.1,5.16,3.15,,,,,,,
October,,,,,,,,,8.4,6.85,4.49,6.5,5.21,4.66,3.4,6.87,2.45,1.68,4.69,3.4,5.65,1.3,6.68,7.25,5.9,6.21,5.65,4.53,6.5,4.45,9.18,5.22,5.9,7.38,6.41,5.76,3.31,6.48,4.44,3.12,4.24,2.87,4.58,5.52,2.47,6.48,5.64,2.32,1.92,3.77,2.97,5.39,5.69,4.1,4.9,4.14,4.96,2.3,4.13,3.08,5.81,3.36,4.98,10.12,2.61,2.7,6.6,5.08,2.36,,3.37,3.54,5.55,1.86,2.89,1.88,7.54,8.09,3.7,2.58,1.6,3.67,0.83,4.83,5.47,5.35,3.93,4.44,5.43,5.86,5.87,2.47,7.68,4.55,4.78,8.06,4.64,1.09,9.57,2.26,4.67,4.94,6.08,3.73,5.16,5.93,1.1,0.94,3.07,5.47,2.59,1.15,5.07,2.33,9.11,2.14,,,,,,,
