ICKENHAM-PUMPING-STATION,,,,,,,,,,
Grid ref,TQ074875,Long,-0.45154724,Lat,51.576144,Elevation,150,ft.,,
Station no,860/6/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.88,2.28,1.71
February,,,,,,,,2.43,0.08,1.67
March,,,,,,,,1.19,1.58,1.18
April,,,,,,,,1.11,2.21,0.58
May,,,,,,,,2.96,0.35,1.81
June,,,,,,,,3.72,0.63,1.86
July,,,,,,,,2.39,3.13,3.32
August,,,,,,,,2.7,1.79,2.47
September,,,,,,,,4.81,0.05,3.38
October,,,,,,,,1.95,1.72,5.11
November,,,,,,,,2.13,1.99,3.7
December,,,,,,,,3.1,2.63,2.04
Total,,,,,,,,31.37,18.44,28.83
,,,,,,,,,,
NGR is from 1950s record and appears to be Ickenham Pumping Station. Altitudes match.,,,,,,,,,,
MIDAS src_id 6309 ends 1984,,,,,,,,,,
