DUNKELD (RIECHIP LODGE),,,,,,,,,,,,
Grid ref,NO064478,Long,-3.526622,Lat,56.612691,,,,,,,
Station no,5568/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.11,2.57,0.50,2.17,2.28,4.32,4.64,3.17,1.76,4.15,,
February,3.72,0.68,0.72,3.14,1.54,1.22,3.77,2.00,0.33,5.59,,
March,1.39,3.60,0.46,2.98,2.22,3.07,3.63,2.28,3.55,2.73,,
April,1.39,1.57,2.24,1.10,0.90,0.45,1.03,0.94,3.36,4.51,,
May,1.95,3.57,2.26,5.50,1.92,0.66,2.83,3.25,0.78,2.57,,
June,1.95,1.69,1.88,2.17,1.73,3.34,1.72,3.78,1.42,2.79,,
July,3.18,1.66,3.04,2.72,0.75,4.64,5.27,4.26,5.42,3.69,,
August,5.40,3.93,2.01,4.38,1.29,5.87,4.59,4.46,0.81,3.62,,
September,3.26,0.95,3.61,3.28,1.23,4.72,1.68,4.53,0.90,3.38,,
October,0.82,4.31,2.09,6.43,2.06,2.24,1.61,1.54,3.76,5.71,,
November,9.89,2.13,2.44,7.98,2.63,1.72,1.15,0.84,5.29,4.29,,
December,2.71,2.20,3.85,3.56,6.82,5.28,3.94,4.85,8.33,2.21,,
Total,39.77,28.86,25.10,45.41,25.37,37.53,35.86,35.90,35.71,45.24,,
Calc annual,39.77,28.86,25.10,45.41,25.37,37.53,35.86,35.90,35.71,45.24,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
