TORHILL-IVYBRIDGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX642562,Long,-3.911,Lat,50.3903,Elevation,270,ft,,,, ,,,,,,,,
Station no,RR2829,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,2.27,4.57,7.49,2.74,5.2,5.5,3.38,7.58,8.48,7.53,,
February,,,,,,,,,2.58,3.5,1.96,3.63,1.69,1.86,3.61,4.93,6.18,5.32,,
March,,,,,,,,5.17,2.03,3.84,4.54,5.74,7.48,2.66,3.03,3.29,4.23,7.74,,
April,,,,,,,,5.47,4.68,5.26,1.6,0.53,4.49,1.94,1.68,0.69,2.9,3.35,,
May,,,,,,,,3.49,3.16,1.7,5.02,0.68,2.94,3.28,1.37,3.71,3.58,5.68,,
June,,,,,,,,2.39,1.62,0.84,6.82,3.98,3.88,3.74,-999,1.31,2.58,1.5,,
July,,,,,,,,2.13,4.19,1.06,2.71,6.79,3.84,1.46,-999,3.33,1.81,5.61,,
August,,,,,,,,0.77,1.82,5.96,7.19,2.01,2.86,4.19,1.1,5.9,6.37,1.38,,
September,,,,,,,,4.31,3.82,5.69,2.54,3.83,4.84,5.36,4.55,0.05,11.9,4.37,,
October,,,,,,,,6.62,3.36,5.59,3.92,2.44,7.35,6.06,1.02,7.9,2.71,6.05,,
November,,,,,,,,1.91,4.17,5.05,5.57,6.76,1.79,3.9,4.4,6.02,3.28,2.3,,
December,,,,,,,,2,6.29,4.79,4.95,3.12,4.13,4.31,4.41,4.8,6.66,3.15,,
Total,,,,,,,,,39.99,47.85,54.31,42.25,50.49,44.26,32.14,49.51,60.68,53.98,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1858 June 1.26 in some copies but total 39.99,,,,,,,,,,,,,,,,,,,,
1860 Dec Old gauge 3.00,,,,,,,,,,,,,,,,,,,,
1864 June July bracketed value 3.59,,,,,,,,,,,,,,,,,,,,
