STRATH RANNOCH,,,,,,,,,,
Grid ref,NH386745,Long,-4.712277,Lat,57.731153,Elevation,950,ft,,
Station no,5776/41,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.64
February,,,,,,,,,,3.8
March,,,,,,,,,,0.76
April,,,,,,,,,,3.35
May,,,,,,,,,,1.64
June,,,,,,,,,,2.92
July,,,,,,,,,,2.91
August,,,,,,,,,,7.65
September,,,,,,,,,1.69,2.86
October,,,,,,,,,6.46,5.18
November,,,,,,,,,8.67,3.3
December,,,,,,,,,4.81,5.77
Total,,,,,,,,,,44.78
,,,,,,,,,,
Station no,5776/41,,,,,,,,,
Midas,14553,,,,,,,,,
Hyd Stn,791317,,,,,,,,,
