TEIGNMOUTH-COOMBE-VALE-FONTIGARY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX933736,Long,-3.50645,Lat,50.55303,Elevation,250,ft,,,,,,,,,,,,,
Station no,1724,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.83,4.27,3.44,3.35,2.44,4.95,2.46,3.06,2.53,2.93,,,,,,
February,,,,,,3.97,2.28,3.22,1.96,3.15,1.57,1.85,0.02,4.15,0.18,,,,,,
March,,,,,,0.28,0.6,2.88,3.57,0.13,2.6,2.55,2.18,3.32,3.21,,,,,,
April,,,,,2.79,2.48,2.72,1.83,2.04,1.13,3.03,3.8,2.25,1.78,3.56,,,,,,
May,,,,,4.62,3.62,0.64,0.48,1.26,2.39,1.53,2.93,4.05,1.82,1.11,,,,,,
June,,,,,2.37,0.01,3.35,2,1.65,2.02,0.3,3.51,3.29,2.4,1.51,,,,,,
July,,,,,4.25,2.32,0.98,2.67,1.45,1.5,2.24,3.58,1.84,2.2,0.57,,,,,,
August,,,,,2.89,1.8,1.12,2.7,2.17,1.65,4.03,4.03,1.77,1.52,3.22,,,,,,
September,,,,,4.63,3.72,1.33,4.18,2.31,0.25,4.39,1.83,5.17,3.09,2.64,,,,,,
October,,,,,6.18,3.51,3,2.4,5.04,5.12,3.32,0.51,6.56,2.56,2.53,,,,,,
November,,,,,3.15,2.93,8.39,2.78,3.28,10.26,6.02,5.36,2.12,1.13,2.46,,,,,,
December,,,,,4.17,4.56,0.42,4.46,3.61,7.27,4.1,1.51,2.76,3.01,11.46,,,,,,
Total,,,,,,34.03,29.1,33.04,31.69,37.31,38.08,33.92,35.07,29.51,35.38,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Fontigary currently listed as in Harts Close Matches elevation Distances to church and station work Only one house here at the time,,,,,,,,,,,,,,,,,,,,,
1926 Sept Gauge moved 33ft SW,,,,,,,,,,,,,,,,,,,,,
1929 Gauge exposed to gales from S SW W NW Sheltered from N NE SE,,,,,,,,,,,,,,,,,,,,,
1930 Jan 15 Gauge moved 35yds N to less exposed position 10ft higher and slightly more exposed to N NE,,,,,,,,,,,,,,,,,,,,,
1935 Moved to Ilsington Newton Abbot,,,,,,,,,,,,,,,,,,,,,
