"NENTHEAD (SCHOOL)",,,,,,,,,,,,
Grid ref,NY777438,Long,-2.348302,Lat,54.788595,,,,,,,
Station no,RR1788,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,6.24,3.67,3.32,7.19,,
February,,,,,,,3.41,6.16,0.83,5.51,,
March,,,,,,,3.54,2.58,1.70,1.82,,
April,,,,,,,0.55,2.10,4.82,3.33,,
May,,,,,,,2.31,4.87,0.78,2.10,,
June,,,,,,,1.49,3.09,3.55,1.80,,
July,,,,,,,5.63,4.07,3.97,5.58,,
August,,,,,,,7.70,3.13,0.91,3.66,,
September,,,,,,,3.92,4.75,1.41,2.70,,
October,,,,,,,4.58,4.18,4.97,8.02,,
November,,,,,,,3.03,1.01,8.07,7.01,,
December,,,,,,,7.09,5.87,8.29,6.19,,
Total,,,,,,,49.49,45.48,42.62,54.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,49.49,45.48,42.62,54.91,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
