SWINDON-COMMONWEAL-SECONDARY-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU147833,Long,-1.7893986,Lat,51.548403,Elevation,468,ft,,,,,,,,,,,,,
Station no,1537,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.19,3.73,1.59,2.87,2.39,2.49,,,,,,
February,,,,,,,,,,0.73,0.61,1.85,0.12,5.2,0.16,,,,,,
March,,,,,,,,,,0.17,1.48,0.19,2.44,3.31,,,,,,,
April,,,,,,,,,,1.05,2.02,2.78,3.03,1.13,,,,,,,
May,,,,,,,,,,1.89,1.27,3.38,7.19,1.7,0.96,,,,,,
June,,,,,,,,,2.58,1.44,1.19,2.76,1.11,2.01,1.39,,,,,,
July,,,,,,,,,2.6,1.68,2.26,4.78,3.51,2.48,,,,,,,
August,,,,,,,,,2.1,1.33,1.89,4.51,1.37,0.91,,,,,,,
September,,,,,,,,,1.61,0.25,3.57,1.98,3.61,3.41,,,,,,,
October,,,,,,,,,4.07,3.9,1.79,0.49,5.3,2.5,,,,,,,
November,,,,,,,,,2.64,6.41,4.97,4.5,1.79,0.95,,,,,,,
December,,,,,,,,,3.05,6.56,3.07,1.33,0.87,0.47,,,,,,,
Total,,,,,,,,,,26.6,27.85,30.14,33.21,26.46,,,,,,,
