"KINGTON MONTFORT HOUSE, HILL COURT (JUNE 1927)",,,,,,,,,,,
Grid ref,SO294568,Long,-3.034522,Lat,52.204884,Elevation,596,ft,,,
Station no,2245,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,3.8,4.67,2.33,4.32,4.69,4.92,4.81,,,
February,,0.39,4.82,8.51,0.61,5,2.73,3.1,,,
March,,3.37,4.89,1.82,1.71,0.9,0.62,3.39,,,
April,,0.97,2.97,2.49,4.31,2.44,2.92,2.27,,,
May,,1.52,1.16,2.51,4.8,4.17,3.31,1.06,,,
June,,0.45,1.21,0.79,2.02,0.02,1.92,,,,
July,,1.13,4.65,2.92,5.65,2.93,2.59,,,,
August,,3.71,3.52,3.58,3.17,3.9,3.08,,,,
September,,1.36,2.6,2.86,5.46,3.18,1.41,,,,
October,,1.97,0.83,5.66,4.88,4.49,3.67,,,,
November,,3.06,1.99,2.24,3,2.57,7.16,,,,
December,,2.93,5.67,2.79,6.3,4.07,0.92,,,,
Total,,24.66,38.98,38.5,46.23,38.36,35.25,,,,
