"KINGTON, MONTFORT HOUSE",,,,,,,,,,,
Grid ref,SO289568,Long,-3.0418369,Lat,52.20482,Elevation,616,ft,,,
Station no,2245,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,4.5,4.96,,,,
February,,,,,,4.87,2.68,,,,
March,,,,,,0.77,0.59,,,,
April,,,,,,2.38,2.78,,,,
May,,,,,,3.95,3.16,,,,
June,,,,,,0.01,1.82,,,,
July,,,,,,2.8,,,,,
August,,,,,,3.52,,,,,
September,,,,,,3.03,,,,,
October,,,,,,4.36,,,,,
November,,,,,,2.54,,,,,
December,,,,,,4.01,,,,,
Total,,,,,,36.74,,,,,
