LINCOLN - BURTON ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK971727,Long,-0.546,Lat,53.242,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2557/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
January,2.37,1.49,3.58,1.60,2.45,2.66,1.06,1.78,1.95,1.60,3.55,3.06,1.45,3.76,2.08,,2.61,3.91,2.27,1.92,1.61,2.22,3.86,1.20,1.05,2.43,1.44,1.24,0.79,1.84,4.51,1.10,2.58
February,1.47,1.57,1.16,0.93,0.36,2.39,0.65,2.45,0.81,2.35,2.61,2.05,1.20,0.71,2.39,,1.31,0.51,2.51,1.64,2.36,1.97,0.75,0.62,4.17,3.15,0.45,2.09,2.75,2.90,1.36,2.16,3.92
March,0.58,1.87,1.94,0.32,2.23,0.35,1.48,2.59,1.75,0.47,1.11,1.37,0.26,1.88,1.64,,1.37,0.48,0.61,0.75,1.43,4.49,0.51,1.15,0.92,3.99,3.10,1.03,1.53,2.59,0.88,1.46,2.06
April,2.59,2.01,0.77,0.66,3.27,3.26,1.93,0.84,2.49,2.62,1.57,2.73,0.18,1.37,1.18,,1.01,1.05,1.94,1.35,1.87,1.90,1.25,2.10,2.55,1.00,1.37,2.14,0.14,1.08,1.29,0.30,0.70
May,1.79,1.19,1.76,0.89,1.46,2.47,4.40,1.87,0.99,0.29,0.72,3.03,3.27,1.34,0.59,1.52,2.85,2.46,1.58,1.93,1.64,0.80,1.97,2.18,2.40,4.14,1.57,2.99,3.07,2.86,0.75,1.82,
June,3.27,2.99,1.72,1.14,1.67,2.50,0.75,1.41,1.01,2.72,3.28,1.23,0.98,3.06,0.92,0.39,1.38,1.30,1.71,2.44,2.25,2.57,3.60,0.85,1.24,1.10,2.36,2.40,2.92,3.14,3.62,1.65,
July,1.56,2.41,0.99,1.04,4.25,3.78,3.12,1.91,1.76,0.44,4.37,3.71,3.44,4.12,4.17,3.70,2.49,0.92,2.54,1.53,2.17,1.65,1.74,3.96,2.52,0.86,0.52,2.37,1.80,0.49,3.06,2.57,
August,2.31,3.58,1.96,2.06,2.83,4.21,1.53,0.35,2.26,1.13,0.93,0.37,1.37,1.82,0.51,3.39,2.70,1.73,3.09,3.19,4.19,0.14,2.84,2.33,2.20,5.82,2.45,1.93,3.86,0.37,5.02,2.18,
September,1.16,3.34,0.31,0.44,3.93,3.08,1.39,2.23,1.22,4.20,1.90,0.65,2.55,1.09,,0.70,1.51,3.03,3.19,1.29,3.49,0.86,2.27,2.70,4.93,0.82,2.15,1.40,2.06,0.93,1.63,4.23,
October,1.95,1.74,4.07,2.68,1.86,0.71,3.64,2.88,0.98,2.42,2.01,2.03,1.93,3.38,,3.08,1.73,1.62,3.05,2.51,1.34,0.30,1.64,3.25,0.62,1.74,2.80,2.15,3.23,1.08,1.27,1.05,
November,2.65,2.26,2.52,4.60,2.84,2.62,1.45,1.73,1.84,4.45,2.24,1.41,2.58,3.87,,2.83,2.23,1.71,3.88,0.61,5.27,1.21,1.10,2.76,4.98,5.06,2.59,1.48,4.39,1.32,0.97,2.55,
December,0.60,2.24,1.64,3.39,2.24,1.23,0.87,0.43,4.51,2.72,1.23,2.70,4.05,1.57,,0.37,2.03,0.65,1.22,1.67,3.06,2.28,3.09,0.97,1.58,1.38,1.73,1.08,2.73,1.72,1.44,1.52,
Total,22.30,26.69,22.42,19.75,29.39,29.26,22.27,20.47,21.57,25.41,25.52,24.34,23.26,27.97,,,23.22,19.37,27.59,20.83,30.68,20.39,24.62,24.07,29.16,31.49,22.53,22.30,29.27,20.32,25.80,22.59,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1939 total has been reduced by 0.04 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The elevation given on the rainfall sheets seems to be a bit too high for locations near Burton Road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The observer and gauge moved to Holland Row in 1958.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
