BURTON LEONARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE330638,Long,-1.497234,Lat,54.069085,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3374/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.51,3.71,2.97,3.94,4.36,2.04,3.15,2.72,3.58,2.57,3.33,2.58,2.37,5.77,0.91,1.47,2.11,1.99,0.57,1.99,1.61,2.98,1.65,2,2.21,4.04
February,,,,,3.15,2.42,3.58,1.45,2,2.48,3.68,2.14,1.3,1.14,2.5,2.46,1.8,1.39,0.98,4.39,2.34,0.45,1.25,2.25,1.45,1.27,1.84,3.14,0.12,1.69
March,,,,,0.63,2.25,2.22,0.13,1.9,1.78,2.42,1.86,0.89,0.38,0.53,1.4,4.9,1.29,0.99,1.05,3.07,1.68,0.52,2.21,1.74,1.11,1.5,1.52,1.11,2.37
April,,,,,2.44,1.53,3.07,0.08,1,1.86,1.33,1.26,1.27,2.54,1.55,1.7,2.82,2.39,2.19,2.28,1.31,1.03,2.24,0.27,0.98,2.23,0.39,0.79,3.54,1.08
May,,,,,1.07,1.63,2.63,2.75,1.22,0.72,1.38,2.99,2.09,0.65,2.36,1.82,2.96,1.27,1.62,1.39,6.55,1.72,1.38,3.9,2.02,0.67,0.9,3.43,0.6,0.77
June,,,,,2.63,5.36,1.32,3.14,1.94,0.53,0.22,0.72,1.79,2.53,2.6,2.5,2.86,3.25,0.84,0.83,1.07,1.87,1.82,2,1.65,3.19,1.41,3.17,1.06,0.78
July,,,,0.89,0.37,3.47,1.76,3.19,4.64,4.55,2.35,2.52,0.84,3.32,1.9,3.24,2.57,0.81,1.92,2.56,2.41,1.16,2.25,1.29,0.89,4.3,3.93,2.65,1.29,3.43
August,,,,1.5,2.32,2.73,0.99,3.16,2,0.62,2.08,2.43,3.01,3.01,3.38,4.86,0.64,3.41,2.92,4.61,5.68,2.33,2.98,5.42,0.87,6.18,5.25,3.32,0.48,2.9
September,,,,1.82,5.24,1.75,1.11,2.38,1.16,2.05,0.36,1.75,2.93,6.17,1.32,4.98,1.68,1.71,0.79,2.62,1.58,3.15,2.19,1.62,0.99,2.85,3.4,3.3,0.19,2.74
October,,,,1.76,4.26,1.53,2.07,5.4,2.69,3.11,3.42,1.96,1.45,2.44,3.89,1.44,0.63,0.8,2.3,1.37,1.25,3.13,1.96,4.23,1.98,1.17,2.98,1.82,1.9,6.19
November,,,,2.17,4.69,2.72,1.56,3.53,3.25,3.77,3.59,1.32,2.29,4.95,0.52,5.24,1.98,1.16,3.85,3.6,6.14,1.51,2.62,4.94,2.02,0.64,1.64,0.72,3.54,4.65
December,,,,4.48,1.89,2.2,2.72,4.48,1.89,2.35,0.67,2.14,1.35,2.25,1.61,2.3,1.9,2.44,3.04,1.69,2.59,1.4,1.07,2.29,3.11,2.35,2.59,4.16,4.68,2.92
Total,,,,,30.2,31.3,26,33.63,28.05,25.86,24.65,23.81,22.79,31.95,25.49,34.52,27.11,25.69,22.35,27.86,36.1,21.42,20.85,32.41,19.31,28.94,27.48,30.02,20.72,33.56
