"LANGHOLM, CASTLE O'ER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY248925,Long,-3.183621,Lat,55.220977,Elevation,640,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.8,6.9,8.9,4.32,,,,2.9,7.1,2.9,3.1,1.7,6.45,2.72,2.65,1.6,3,6.7,5.75,2.2,3.1,7,3.52,2,5.4,1.6,5.3,4.2,3.3,2.6,4.5,,,,,,,
February,,,4.9,6.92,7.1,7.8,,,,2.28,3.1,0.4,1.7,6.42,10.62,1.2,2.35,4.25,4.1,3.6,4.2,3.4,2.67,5.8,2.62,1.95,2.2,2.65,2.52,,6.05,6.05,,,,,,,,
March,,,5.4,2.7,4.45,4.2,,,,3.2,3.22,3.3,1.15,1.67,2.4,3.9,4.9,6.9,1.61,4.65,0.05,1.8,1.5,9,4.85,5.2,2.2,4.75,4.62,3.4,3.2,1.2,,,,,,,,
April,,0.9,2.9,2,1.6,3.4,,,,3.2,1.05,1.6,0.85,0.72,1.1,2.3,1.7,2.9,4.75,3.5,3.12,3.5,2,1,4.1,4,0.7,1.9,1.15,3.3,2.8,4.8,,,,,,,,
May,,3.35,2.35,2,4.95,3.48,,,,2.32,2.35,1.6,4.75,1.75,3.92,0.05,0.2,2.6,2.25,3.15,3.55,1.82,1,2.15,3.2,2.72,5.12,4.25,2.85,2.2,1.3,3.8,,,,,,,,
June,,6.5,4.2,3,0.34,1.32,,,,1.5,4.4,1.6,3,1.6,2.8,0.8,3.1,3.4,2.1,0.85,4.85,3.2,1.7,1.3,4,1.7,1.1,6.7,3.4,1.8,0.9,2.6,,,,,,,,
July,,3.6,9.35,4.6,5.75,2.4,,,,3.65,3.72,2.45,2.55,2.55,2.2,6.2,4.5,2.1,0.2,3.85,3.25,0.7,3.45,4.32,4.25,2.2,2.3,2.8,2.45,4.1,5,0.9,,,,,,,,
August,,5.15,2.6,5.2,1.28,4,,,,3.6,2.5,11.17,6.8,5.15,3.95,6.1,1.73,8.32,5.4,1.1,5.1,4.9,2.95,7.32,4.05,4.22,7.1,5.05,5.4,1.7,6.7,2.07,,,,,,,,
September,,2.7,2.55,4.65,4.84,7.2,,,1.4,1.8,4.6,6.3,6.8,2.15,0,0.7,5.7,3.3,2.9,4.4,3.7,2.5,1.6,3.4,2.4,2.3,1.1,0.1,4.3,1.7,0.1,1.7,,,,,,,,
October,,2.8,3.5,5.55,2.4,4.1,,,3.6,5.28,2.5,6.45,4.2,4.92,3.85,4.45,4.3,2.85,4.2,3.9,4.9,5.7,2.9,11.5,2.1,2.6,5.1,6.2,2.1,12.4,2.3,4.5,,,,,,,,
November,,9.2,5.7,6.75,2.55,3.45,,,7.15,1.65,9.95,4.7,3.71,1.8,6.75,5.85,1.25,5.12,5.2,5.8,3.6,5.12,3.52,2.6,2.52,3.7,3.71,2.85,2.9,-999,,5.03,,,,,,,,
December,,4.6,5,4.6,6,2.2,,,6.15,5.02,0.75,9.2,1.75,8.5,5.12,4,7.3,9.12,8.05,3.2,9.6,5.9,5.4,3.5,2.9,2.1,2.45,6.3,3.5,-999,7.3,8.4,,,,,,,,
Total,,,52.25,54.87,50.16,47.87,,,,36.4,45.24,51.67,40.36,38.93,49.16,38.27,39.68,52.46,43.76,44.7,51.67,40.74,31.79,58.89,40.51,34.69,38.48,45.15,40.49,,,43.65,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1909 Feb 2.8 estimated therefore removed and Nov Dec total 8.5"" apportioned by averages therefore removed along with total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 records notes that several months look very low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
