"NAYLAND (BOXTED LODGE)",,,,,,,,,,,,
Grid ref,TL999321,Long,0.907508,Lat,51.951455,,,,,,,
Station no,1328/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.96,2.31,0.87,1.34,2.50,3.72,1.10,2.38,1.56,1.95,,
February,3.94,0.63,1.15,2.22,1.93,0.54,2.53,2.04,0.12,1.27,,
March,2.95,2.99,0.32,2.06,1.42,0.88,1.43,0.73,1.42,1.49,,
April,2.77,1.07,1.83,0.31,0.25,0.73,0.14,0.84,2.04,0.42,,
May,2.17,1.26,1.39,1.65,2.66,0.71,1.20,1.98,0.42,0.86,,
June,1.00,1.45,5.52,2.53,2.22,2.37,2.06,4.58,0.98,0.90,,
July,1.78,0.64,3.14,2.71,0.33,2.81,3.21,2.91,1.11,3.89,,
August,2.70,3.50,1.85,2.99,2.36,4.32,2.86,5.08,0.80,3.54,,
September,2.23,3.09,1.33,1.37,1.60,1.51,3.10,2.58,0.00,3.81,,
October,0.63,2.03,2.03,1.63,4.18,1.27,1.65,2.37,1.37,6.06,,
November,3.92,4.21,1.27,3.86,0.56,0.68,2.65,1.22,2.42,3.06,,
December,1.93,2.20,0.81,1.93,1.59,2.14,1.97,3.50,3.89,2.45,,
Total,27.98,25.38,21.51,24.60,21.60,21.68,23.90,30.21,16.13,29.70,,
Calc annual,27.98,25.38,21.51,24.60,21.60,21.68,23.90,30.21,16.13,29.70,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
