SALISBURY-HARNHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU135288,Long,-1.8087489,Lat,51.058384,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.77,5.1,1.27,4.71,2.14,3.57,2.91,2.9,0.93,5.23,6.51,3.4,5.68,2.6,3.08,3.73,7.56,2.69,1.6,3.59,2.69,6.75,0.94,0.71,3.53,,,,,,,,,
February,,,,,,,,4.62,2.36,0.95,0.94,2.51,0.1,4.39,0.14,3.63,2.55,5.55,0.87,2,3.2,3.3,0.42,1.49,0.66,2.36,2.78,1.47,1.78,1.6,5.54,5.74,,,,,,,,,
March,,,,,,,,3.78,2.83,0.14,1.61,0.88,2.31,4.02,3.45,0.97,2.99,4.6,0.28,1.39,3.16,3.63,2.13,0.63,0.43,1.06,1.08,7.29,1.27,1.31,1.6,4.58,,,,,,,,,
April,,,,,,,,1.75,1.94,1.05,2.42,2.98,3.58,1.45,2.23,4.09,1.75,2.08,0.03,2.65,1.36,2.24,2.35,0.79,1.6,0.79,3.05,2.49,1.69,2.25,3.4,3.93,,,,,,,,,
May,,,,,,,,0.78,1.53,1.86,1.36,2.53,3.99,1.59,0.82,1.08,1.25,2.33,2.24,1.01,0.79,1.82,4,2.86,0.24,2.62,4.83,1.94,4.05,2.42,2.02,3.05,,,,,,,,,
June,,,,,,,,2.86,2.21,1.34,0.66,2.56,2.12,2.42,1.4,4.63,2.62,1.42,1.13,2.73,0.71,1.29,0.41,1.28,1.95,3.28,5.51,1.98,2.86,0.66,1.17,0.41,,,,,,,,,
July,,,,,,,,3.23,1.65,1.3,2.56,4.05,2.53,2.39,1.07,0.59,4.81,1.52,3.55,6.23,2.65,1.38,1.35,2.64,3.25,1.27,1.3,1.48,0.99,1.09,5.7,0.83,,,,,,,,,
August,,,,,,,,3.21,2,1.07,3.86,4.91,0.98,0.61,2.91,2.76,0.25,1.21,2.29,2.61,0.16,4.78,4.16,2.31,2.85,2.1,4.43,0.98,3.9,1.84,4.66,5.45,,,,,,,,,
September,,,,,,,,5.42,2.25,0.36,3.78,1.39,3.39,2.71,2.23,3.71,3.72,2.46,1.77,1.39,1.8,0.99,2.22,2.38,2.18,2.46,7.37,1.56,2.85,3.46,4.04,4.16,,,,,,,,,
October,,,,,,,,2.12,6.59,4.77,1.83,0.61,5.01,2.35,1.69,5.39,2.16,5.24,3.4,4.9,4.75,1.33,5.31,4.74,5.49,4.32,1.53,0.77,2.04,7.86,1.02,1.08,,,,,,,,,
November,,,,,,,,3.3,3.64,8.6,5.14,5.14,1.96,0.97,2.08,7.96,3.31,1.52,6.04,7.48,8.52,2.73,1.69,2.05,6.39,0.49,7.49,1.55,1.99,4.91,6.48,10.37,,,,,,,,,
December,,,,,,,,3.9,2.77,8.23,3.87,0.88,1.63,1.01,9.21,5.34,4.22,4.15,4.96,2.14,2.3,2.63,5.75,2.48,3.02,4.42,3.82,3.7,6.11,1.8,1.97,3.39,,,,,,,,,
Total,,,,,,,,37.74,34.87,30.94,32.74,30.58,31.17,26.82,30.13,41.08,34.86,38.59,29.96,40.21,32,29.2,33.52,31.21,30.75,26.77,46.78,27.9,36.28,30.14,38.31,46.52,,,,,,,,,
