"TUNBRIDGE WELLS, HAWKENBURY, FOREST ROAD",,,,,,,,,,,,
Grid ref,TQ597384,Long,0.280617,Lat,51.122628,,,,,,,
Station no,328,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.01,,
February,,,,,,,,,,0.62,,
March,,,,,,,,,,3.89,,
April,,,,,,,,,,1.56,,
May,,,,,,,,,,1.76,,
June,,,,,,,,,,3.58,,
July,,,,,,,,,,3.08,,
August,,,,,,,,,,2.80,,
September,,,,,,,,,,4.28,,
October,,,,,,,,,,7.11,,
November,,,,,,,,,,1.17,,
December,,,,,,,,,,4.43,,
Total,,,,,,,,,,35.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.29,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
