"WINCOBANK (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SK395917,Long,-1.407105,Lat,53.420627,,,,,,,
Station no,3130,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.07,2.71,0.42,1.64,1.82,4.11,0.93,2.58,2.58,4.79,,
February,3.06,0.32,1.83,2.30,2.35,1.26,2.01,3.77,0.04,2.46,,
March,2.52,1.48,1.06,1.55,3.01,0.77,1.25,1.59,0.96,1.75,,
April,0.76,1.44,1.84,0.22,0.26,2.51,0.07,0.42,2.61,0.66,,
May,2.94,1.58,1.42,3.78,2.69,0.39,0.79,2.19,0.75,1.31,,
June,0.43,1.18,1.33,1.36,2.37,2.62,1.46,5.06,1.42,0.87,,
July,1.02,1.66,2.57,1.45,0.67,4.20,2.62,4.72,0.86,2.88,,
August,4.54,1.08,1.72,7.00,0.36,4.88,3.93,2.88,0.67,3.64,,
September,1.25,1.46,1.17,1.49,0.74,2.69,3.60,2.41,0.00,4.06,,
October,0.88,3.59,1.84,2.55,1.64,0.96,0.95,1.55,1.70,5.84,,
November,5.74,1.33,1.37,4.51,2.04,0.53,2.18,0.55,3.31,3.55,,
December,2.16,1.39,0.93,2.64,2.29,3.01,2.09,3.15,2.88,2.53,,
Total,27.37,19.22,17.50,30.49,20.24,27.93,21.88,30.87,17.78,34.34,,
Calc annual,27.37,19.22,17.50,30.49,20.24,27.93,21.88,30.87,17.78,34.34,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
