ELTHAM-GREEN,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ414746,Long,0.033630548,Lat,51.452733,Elevation,80,ft,,,,,,,,,,,,
Station no,RR1278,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,4,,,,,,,,,1.37,,1.5,1.93,,,,,
February,,,0.75,,,,,,,,,2.39,,2.92,1.36,,,,,
March,,,1.91,,,,,,,,,1.48,,0.57,1.39,,,,,
April,,,1.05,,,,,,,,,0.55,,1.4,1.34,,,,,
May,,,3.19,,,,,,,,,1.03,,1.78,0.94,,,,,
June,,,1.86,,,,,,,,,1.71,,1.16,1.94,,,,,
July,,,2.11,,,,,,,,,1.87,,1.69,1.71,,,,,
August,,,2.18,,,,,,,,,3.8,,0.63,0.7,,,,,
September,,,1.42,,,,,,,,,1.95,,3.83,2.11,,,,,
October,,,4.59,,,,,,,,,2.53,,1.46,1,,,,,
November,,,2.9,,,,,,,,,2.48,,2.87,1.16,,,,,
December,,,4,,,,,,,,,2.39,,0.69,2.13,,,,,
Total,,,29.96,,,,,,,,,23.55,,20.5,17.71,,,,,
