"OUGHTERSHAW HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3343,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,6.88,11.40,5.62,7.98,2.67,5.95,7.95,11.69,10.65,2.97,,
February,9.46,0.75,7.63,0.43,13.64,3.26,8.20,4.51,8.46,2.81,,
March,1.31,4.58,4.24,5.11,2.04,3.78,3.69,3.58,5.23,6.10,,
April,4.62,6.12,1.80,4.41,4.43,1.53,4.20,1.14,3.30,2.66,,
May,3.84,1.70,3.24,6.24,1.33,1.79,2.94,4.53,1.18,1.10,,
June,7.36,2.93,3.09,3.68,5.01,5.06,3.20,6.84,4.54,1.62,,
July,6.57,6.68,5.84,3.00,3.72,6.98,3.15,6.62,7.12,5.92,,
August,3.30,1.72,2.51,5.25,3.56,3.17,4.34,5.83,2.75,2.78,,
September,2.82,9.16,2.78,5.20,12.22,3.45,4.26,2.83,2.06,5.32,,
October,4.04,9.22,5.36,10.96,11.49,6.76,3.09,18.81,3.78,7.60,,
November,8.98,5.87,4.33,2.99,8.25,7.28,1.91,10.54,11.16,9.15,,
December,4.00,5.00,1.00,10.26,3.97,8.47,3.66,8.19,4.47,7.04,,
Total,63.18,65.13,47.44,65.51,72.33,57.48,50.59,85.11,64.70,55.07,,
Calc annual,63.18,65.13,47.44,65.51,72.33,57.48,50.59,85.11,64.70,55.07,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
