"SHREWSBURY (LONGDEN ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2289,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.42,2.53,1.49,2.62,1.02,3.39,2.65,3.08,5.42,3.10,,
February,1.87,0.11,2.51,0.18,3.04,1.91,3.38,0.49,1.24,2.64,,
March,0.29,1.97,1.75,1.30,0.89,1.51,1.91,0.35,1.58,2.24,,
April,3.36,3.65,0.78,2.37,2.79,1.62,1.97,0.12,1.76,3.54,,
May,4.56,4.14,1.42,1.37,0.82,1.12,1.41,1.50,0.93,3.12,,
June,4.11,0.78,2.38,1.20,2.03,3.54,1.18,1.87,1.31,2.79,,
July,2.68,5.15,2.45,1.05,0.55,4.52,1.80,1.81,4.59,3.01,,
August,4.97,1.39,1.08,2.18,1.13,0.52,1.52,3.74,2.14,0.13,,
September,2.49,1.85,1.13,1.56,3.71,4.99,1.98,1.67,0.73,1.32,,
October,0.66,3.89,4.85,2.39,4.17,1.70,3.87,3.36,2.74,2.87,,
November,3.45,1.51,0.72,1.86,4.52,3.08,1.76,3.77,3.97,7.21,,
December,1.13,0.90,0.53,3.44,3.02,2.95,2.74,2.67,2.11,1.22,,
Total,30.99,27.87,21.09,21.52,27.69,30.85,26.17,24.43,28.52,33.19,,
Calc annual,30.99,27.87,21.09,21.52,27.69,30.85,26.17,24.43,28.52,33.19,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
